TZ, Pp1_45, Pp2_45, Pp3_45, Pp4_45, Pp5_45, Pp6_45, Pp10_45, PpTt45, HtTt45, P1Hh45, P2Hh45, P3Hh45, P4Hh45, Con45, FIRE45, TCWh45, Ret45, Bus45, AcIn45, HeEd45, Emp45, PSEn45
Zone, 2045_Pop_0to4, 2045_Pop 5to12, 2045_Pop_13to17, 2045_Pop_18to24, 2045_Pop_25to44, 2045_Pop_45to64, 2045_Pop_65plus, 2045_total_population, 2045_total_hhs, 2045_1p_hhs, 2045_2p_hhs, 2045_3p_hhs, 2045_4p_hhs, 2045_Const_Mfg, 2045_FIRE, 2045_TCU_WhSale, 2045_Retail, 2045_Business_OthServ, 2045_Accom_Fd_Info, 2045_Health_Ed_PubAd, 2045_total_emp, PostSec 2045 FT Enrl
22860, 137.7144, 54.70658, 56.84711, 125.86, 0, 0, 650.7679, 3433.828, 1669.461, 702.7014, 651.2713, 212.9573, 102.5308, 38.49095, 27.79923, 7.722803, 8.642496, 166.4381, 156.0074, 11.88568, 416.9866, 0
22870, 135.5261, 142.5692, 23.81931, 371.5802, 0, 0, 317.99, 4036.557, 2075.573, 1273.955, 525.8646, 148.1037, 127.6503, 8.447512, 159.1479, 7.638791, 8.54848, 229.3879, 61.29306, 78.53391, 552.9976, 0
22880, 67.30611, 51.49373, 12.10821, 87.1426, 0, 0, 258.4192, 1440.889, 718.1983, 343.9525, 276.3484, 50.40639, 47.49099, 67.7579, 110.1074, 71.50355, 154.5436, 506.6299, 278.6677, 40.75061, 1229.961, 0
22890, 110.9553, 80.17229, 39.6944, 165.2514, 0, 0, 326.0806, 2153.943, 1044.288, 490.3138, 356.3866, 101.2228, 96.36513, 8.673178, 31.11235, 26.44927, 106.4945, 142.8102, 228.0076, 117.4493, 660.9965, 114
22900, 120.6023, 133.073, 87.94285, 249.923, 0, 0, 1459.01, 3636.987, 1768.488, 747.6091, 706.5294, 189.1393, 125.2105, 8.963683, 194.2146, 7.777475, 8.70368, 322.9976, 1939.415, 89.84821, 2571.92, 0
22910, 51.35709, 88.40622, 86.61589, 36.87851, 0, 0, 572.7713, 1809.067, 842.2325, 316.835, 318.3222, 123.3522, 83.72305, 7.925606, 76.18137, 7.166849, 8.020335, 140.3413, 23.21401, 169.1678, 432.0172, 238
23010, 90.53583, 56.67222, 30.91707, 116.5918, 0, 0, 463.4784, 1910.993, 855.2361, 365.7359, 269.5924, 63.95421, 155.9536, 61.92582, 27.95284, 7.494796, 8.387337, 89.25747, 171.6336, 130.3509, 497.0028, 102
23020, 13.49153, 87.73644, 82.05242, 123.3018, 0, 0, 748.2252, 1933.095, 767.2115, 55.23393, 413.0916, 120.9812, 177.9048, 94.26777, 68.08279, 26.30847, 277.4295, 253.2195, 134.8504, 116.8241, 970.9825, 0
23030, 7.304156, 70.60314, 42.72471, 36.38187, 0, 0, 398.3194, 1049.051, 466.1287, 208.2137, 128.4521, 24.09118, 105.3717, 8.415953, 59.91101, 7.610253, 27.1256, 33.2126, 355.994, 11.71246, 503.9819, 0
23040, 110.2569, 180.0633, 81.9233, 275.1688, 0, 0, 933.4905, 3799.955, 1639.452, 515.8925, 659.6555, 181.2675, 282.637, 122.7087, 110.7795, 23.54401, 117.3676, 198.976, 159.0788, 227.5464, 960.0011, 0
23050, 61.12766, 56.99704, 32.80275, 90.78195, 0, 0, 381.3831, 1797.984, 787.2172, 234.527, 339.8783, 87.43737, 125.3745, 38.98923, 35.19888, 7.56478, 74.5843, 119.4198, 9.74548, 148.5085, 434.011, 0
23060, 21.16498, 9.404757, 31.80157, 170.2194, 0, 0, 975.1456, 2896.958, 1207.333, 650.8913, 301.3459, 26.03336, 229.0628, 8.383367, 168.8033, 7.580786, 192.599, 160.0196, 9.766099, 299.8745, 847.0267, 0
23070, 111.8527, 33.48582, 20.87762, 231.1161, 0, 0, 273.8547, 2702.726, 1377.38, 817.0793, 411.6052, 41.90636, 106.7895, 8.842479, 89.61284, 7.995945, 316.4737, 202.6873, 337.2397, 106.1299, 1068.982, 0
23080, 84.768, 114.4469, 90.9776, 141.271, 0, 0, 280.792, 3312.708, 1699.469, 1040.397, 439.39, 96.40426, 123.2779, 295.062, 207.1825, 44.03255, 376.2918, 543.4274, 398.638, 302.3302, 2166.965, 39
23090, 22.91594, 16.43649, 6.281983, 20.94335, 0, 0, 652.5545, 1154.094, 585.1616, 271.05, 265.4884, 18.31274, 30.31043, 1009.221, 876.2151, 57.67947, 246.4576, 858.8632, 460.7532, 249.6716, 3758.861, 0
23100, 2.171641, 3.542423, 2.836411, 1.917031, 0, 0, 17.86872, 50.002, 24.00663, 9.372296, 8.705006, 3.795424, 2.1339, 137.4866, 34.75382, 89.69006, 319.6516, 133.7633, 899.7885, 374.8455, 1989.979, 186
23110, 143.5667, 44.93382, 98.05314, 274.3451, 0, 0, 501.1079, 2889.787, 1455.402, 864.3591, 379.8101, 111.1446, 100.0881, 206.6384, 29.84799, 8.18363, 24.32542, 141.4742, 36.94962, 74.56524, 521.9845, 0
23120, 128.526, 141.816, 93.72079, 266.3433, 0, 0, 1554.868, 3875.941, 1889.522, 795.3284, 737.119, 241.0284, 116.046, 416.1187, 10.33986, 179.6407, 45.92381, 112.4583, 632.463, 145.985, 1542.929, 0
23130, 121.46, 187.4525, 121.3673, 187.5598, 0, 0, 632.5087, 2369.068, 1003.277, 299.7604, 330.1608, 146.9969, 226.3587, 55.64789, 113.8729, 92.53494, 141.9352, 160.4174, 99.50562, 52.0605, 715.9745, 0
