Zone, 250C11, 500C11, WrPr11, OtPk11, BkSc11
Zone, 2011_250m_car_share, 2011_500m_car_share, 2011_work_parking, 2011_nonwork_parking, 2011_bike_score
22720, 2, 3, 1.3, 0.55, 5
22730, 2, 3, 1.3, 0.55, 5
22740, 2, 3, 0.85, 0.5, 5
22750, 2, 3, 0.85, 0.25, 5
22760, 0, 3, 0.35, 0.25, 5
22770, 2, 3, 0.5, 0.4, 5
22780, 2, 3, 0.85, 0.65, 5
22790, 2, 3, 0.7, 0.35, 5
22800, 2, 3, 1.45, 0.65, 5
22810, 2, 3, 0.35, 0.45, 5
22820, 2, 3, 0.85, 0.5, 5
22830, 2, 3, 0.85, 0.5, 5
22840, 1, 3, 0.35, 0.25, 5
22850, 1, 2, 0.3, 0.25, 5
22860, 2, 3, 0.5, 0.4, 5
22870, 2, 3, 0.7, 0.35, 5
22880, 2, 3, 1.45, 0.65, 5
22890, 2, 3, 0.35, 0.45, 5
22900, 0, 3, 0.85, 0.5, 5
22910, 2, 3, 0.35, 0.45, 5
23010, 2, 3, 0.45, 0.25, 4
23020, 0, 1, 0.2, 0.35, 3
23030, 2, 3, 0.2, 0.35, 3
23040, 2, 3, 0.4, 0.35, 4
23050, 1, 3, 0.4, 0.35, 4
23060, 2, 3, 0.4, 0.35, 4
23070, 2, 3, 0.4, 0.35, 4
23080, 2, 3, 0.45, 0.25, 4
23090, 1, 3, 0.45, 0.25, 5
23100, 1, 3, 0.45, 0.25, 5
23110, 1, 2, 0.3, 0.25, 5
23120, 1, 2, 0.3, 0.25, 5
23130, 1, 2, 0.2, 0.35, 3
23140, 2, 3, 0.2, 0.35, 3
23150, 2, 3, 0.4, 0.35, 3
23160, 2, 3, 0.4, 0.35, 3
23170, 2, 3, 0.4, 0.35, 3
23180, 2, 3, 0.4, 0.35, 3
23190, 2, 3, 0.45, 0.25, 4
23200, 2, 3, 0.45, 0.25, 5
23210, 1, 3, 0.45, 0.25, 5
23220, 2, 3, 0.45, 0.25, 5
23230, 2, 3, 0.3, 0.25, 5
23240, 2, 3, 0.3, 0.25, 5
23250, 2, 3, 0.3, 0.25, 5
23260, 2, 3, 0.3, 0.25, 5
23270, 2, 3, 0.3, 0.25, 5
23280, 2, 3, 0.45, 0.25, 5
23290, 2, 3, 0.45, 0.25, 5
23300, 2, 3, 0.45, 0.25, 5
23310, 2, 3, 0.45, 0.25, 5
23320, 2, 3, 0.3, 0.25, 5
23330, 2, 3, 0.3, 0.25, 5
23340, 1, 3, 0.4, 0.25, 3
23350, 2, 3, 0.3, 0.35, 3
23360, 1, 3, 0.3, 0.35, 3
23370, 2, 3, 0.45, 0.25, 3
23380, 2, 3, 0.45, 0.25, 3
23390, 2, 3, 0.45, 0.25, 3
23400, 2, 3, 0.45, 0.25, 3
23410, 2, 3, 0.45, 0.25, 3
23420, 2, 3, 0.45, 0.25, 3
23430, 2, 3, 0.45, 0.25, 3
23440, 1, 2, 0.4, 0.35, 3
23450, 1, 2, 0.4, 0.35, 3
23460, 1, 2, 0.4, 0.35, 3
23470, 2, 3, 0.4, 0.25, 3
23480, 1, 3, 0.3, 0.35, 3
23490, 1, 3, 0.3, 0.35, 3
23500, 2, 3, 0.45, 0.25, 3
23510, 2, 3, 0.45, 0.25, 3
23520, 1, 3, 0.45, 0.25, 3
23530, 2, 3, 0.45, 0.25, 3
23540, 2, 3, 0.45, 0.25, 3
23550, 2, 3, 0.45, 0.25, 3
23560, 2, 3, 0.45, 0.25, 3
23570, 0, 2, 0.4, 0.35, 3
23580, 1, 3, 0.45, 0.25, 3
23590, 1, 2, 0.3, 0.25, 3
23600, 1, 2, 0.3, 0.25, 3
23610, 1, 2, 0.3, 0.25, 3
23620, 1, 2, 0.3, 0.25, 3
23630, 0, 2, 0.4, 0.35, 3
23640, 1, 3, 0.4, 0.35, 3
23650, 1, 3, 0.4, 0.35, 3
23660, 0, 2, 0.3, 0.25, 3
23670, 0, 1, 0.4, 0.35, 3
23680, 1, 3, 0.45, 0.25, 3
23690, 1, 2, 0.3, 0.25, 3
23700, 1, 2, 0.3, 0.25, 3
23710, 1, 2, 0.3, 0.25, 3
23720, 0, 2, 0.4, 0.35, 3
23730, 0, 1, 0.3, 0.35, 3
23740, 0, 1, 0.4, 0.35, 3
23750, 0, 1, 0.4, 0.25, 3
23760, 0, 1, 0.4, 0.35, 3
23770, 1, 2, 0.4, 0.35, 3
23780, 2, 3, 0.45, 0.25, 3
23790, 1, 2, 0.4, 0.25, 4
23800, 1, 2, 0.45, 0.25, 3
23810, 1, 2, 0.4, 0.25, 4
24010, 0, 1, 0.4, 0.25, 3
24020, 0, 2, 0.4, 0.25, 3
