TAZ1741,HHInc,purpose,mode,Access_final
11010,3,HbSo,All,16.38937432
11010,3,HbSo,Auto,16.38850828
11010,3,HbSo,Transit,9.810462025
11010,3,HbW,Active,9.433196925
11010,3,HbW,All,16.13064412
11010,3,HbW,Auto,16.1098638
11010,3,HbW,Transit,13.29966117
11020,1,HbEs,Active,10.94145854
11020,1,HbEs,All,13.29120129
11020,1,HbEs,Auto,13.29120123
11020,1,HbEs,Transit,10.94079025
11020,1,HbPb,Active,6.538735903
11020,1,HbPb,All,14.87052237
11020,1,HbPb,Auto,14.87051404
11020,1,HbPb,Transit,6.53331666
11020,1,HbSh,Active,2.848889638
11020,1,HbSh,All,14.13707107
11020,1,HbSh,Auto,14.13705233
11020,1,HbSh,Transit,2.703531969
11020,1,HbSo,Active,3.239596542
11020,1,HbSo,All,15.58925914
11020,1,HbSo,Auto,15.5892355
11020,1,HbSo,Transit,3.094500878
11020,1,HbW,Active,8.804575283
11020,1,HbW,All,15.35435644
11020,1,HbW,Auto,15.33136401
11020,1,HbW,Transit,12.56793415
11020,2,HbEs,Active,10.94145854
11020,2,HbEs,All,13.32716988
11020,2,HbEs,Auto,13.32716983
11020,2,HbEs,Transit,10.94079025
11020,2,HbPb,Active,6.538735903
11020,2,HbPb,All,14.96998104
11020,2,HbPb,Auto,14.96997658
11020,2,HbPb,Transit,6.53331666
11020,2,HbSh,Active,2.848889638
11020,2,HbSh,All,14.31983892
11020,2,HbSh,Auto,14.31982985
11020,2,HbSh,Transit,2.703531969
11020,2,HbSo,Active,3.239596542
11020,2,HbSo,All,16.15912124
11020,2,HbSo,Auto,16.15898291
11020,2,HbSo,Transit,3.094500878
11020,2,HbW,Active,8.804575283
11020,2,HbW,All,15.79142553
11020,2,HbW,Auto,15.77523126
11020,2,HbW,Transit,12.79772879
11020,3,HbEs,Active,10.94145854
11020,3,HbEs,All,13.35045054
11020,3,HbEs,Auto,13.35045049
11020,3,HbEs,Transit,10.94079025
11020,3,HbPb,Active,6.538735903
11020,3,HbPb,All,15.12227904
11020,3,HbPb,Auto,15.12227051
11020,3,HbPb,Transit,6.53331666
11020,3,HbSh,Active,2.848889638
11020,3,HbSh,All,14.9776815
11020,3,HbSh,Auto,14.97760371
11020,3,HbSh,Transit,2.703531969
11020,3,HbSo,Active,3.239596542
11020,3,HbSo,All,16.23980616
11020,3,HbSo,Auto,16.23969135
11020,3,HbSo,Transit,3.094500878
11020,3,HbW,Active,8.804575283
11020,3,HbW,All,15.98981614
11020,3,HbW,Auto,15.97725094
11020,3,HbW,Transit,12.86761592
11030,1,HbEs,Active,10.96782253
11030,1,HbEs,All,13.33536354
11030,1,HbEs,Auto,13.33376149
11030,1,HbEs,Transit,11.71610291
11030,1,HbPb,Active,8.368743679
11030,1,HbPb,All,14.89819105
11030,1,HbPb,Auto,14.81036776
11030,1,HbPb,Transit,13.42576801
11030,1,HbSh,Active,7.60392908
11030,1,HbSh,All,14.39367331
11030,1,HbSh,Auto,14.1832635
11030,1,HbSh,Transit,12.53890252
11030,1,HbSo,Active,10.06396702
11030,1,HbSo,All,15.67737436
11030,1,HbSo,Auto,15.61210685
11030,1,HbSo,Transit,12.9677171
11030,1,HbW,Active,10.92801906
11030,1,HbW,All,15.63975153
11030,1,HbW,Auto,15.30155467
11030,1,HbW,Transit,14.54045627
