mat_id,mo50,mo60,mo61,mo69,mo70,mo71,mo80
mat_name,areahc,prk2hr,prk8hr,railStn,cs250,cs500,bikesc
mat_desc,taz_a_area_hec,parkingcost2hr,parkingcost8hr,railstationinzone,car_share_250m,car_share_500m,bikescore
TAZ1700,Hectares,parking_two_hr_rate,parking_eight_hr_rate,rail_stn_dummy,car_share_250m,car_share_500m,bike_score_taz
22760,10.98123,6.184071,7.415047,0,1,3,5
22770,10.44898,8.096642,12.79,0,2,3,5
22780,5.167005,8.49,13.95,0,2,3,5
22790,3.266219,6.696681,7.798989,0,2,3,5
22800,7.103981,8.214653,8.848101,1,2,3,5
22810,7.254818,6.794283,7.854755,0,2,3,5
22820,4.084791,6.278728,7.483237,0,2,3,5
22830,9.696325,6.932084,7.925768,0,2,3,5
22840,13.8146,6.271127,7.46649,0,2,3,5
22850,6.386932,6.531379,7.596907,1,1,2,5
22860,12.16789,6.163076,7.397166,0,2,3,5
22870,6.047434,6.568217,7.722846,0,2,3,5
22880,4.093853,7.107558,8.078518,0,2,3,5
22890,7.503129,6.432683,7.590361,0,2,3,5
22900,9.341336,9.3,10.57,0,0,3,5
22910,15.67383,6.134181,7.372293,0,2,3,5
23010,66.56251,0,8.39,0,2,3,4
23020,123.1729,0,0,0,0,1,3
23030,76.50322,5.93,10,0,2,3,3
23040,52.29984,0,0,0,2,3,4
23050,25.8357,0,0,0,1,3,4
23060,18.69403,5.295244,6.488086,0,2,3,4
23070,17.02216,5.437526,6.610443,0,2,3,4
23080,25.61168,5.66044,6.816592,0,2,3,4
23090,22.2611,5.570542,8.05,0,1,3,5
23100,16.56636,7.28,6.758866,0,1,3,5
23110,11.5549,5.713728,6.858082,0,1,2,5
23120,11.97272,6.047481,7.175372,0,1,2,5
23130,44.60136,0,0,0,1,2,3
23140,80.80791,0,0,0,2,3,3
23150,27.64989,0,0,0,2,3,4
23160,32.61719,0,0,0,2,3,4
23170,37.39627,5.142828,6.334323,0,2,3,4
23180,16.4429,5.361109,6.528744,0,2,3,4
23190,24.92938,5.520216,6.680442,0,2,3,4
23200,25.12217,5.841413,6.912353,0,2,3,5
23210,10.17267,5.807505,6.912715,0,1,3,5
23220,10.75844,5.360186,6.557179,0,2,3,5
23230,19.54729,5.359681,6.570591,0,2,3,5
23240,14.70441,5.309382,6.509224,0,2,3,5
23250,16.77417,5.364804,6.94,0,2,3,5
23260,14.04706,6.362808,7.324641,0,2,3,5
23270,11.80219,6.38898,7.371247,0,2,3,5
23280,14.13633,5.95208,7.043334,0,2,3,5
23290,15.02824,5.733222,6.829897,0,2,3,5
23300,14.22454,8.63,8.24,0,2,3,5
23310,11.22389,7.97,7.690308,0,2,3,5
23320,20.62177,6.367067,7.349319,1,2,3,5
23330,17.72985,6.00455,7.052327,0,2,3,5
23340,36.96861,0,0,0,1,3,4
23350,33.80435,5.132703,6.303873,0,2,3,4
23360,16.12649,5.283733,6.450211,1,1,3,4
23370,16.24392,7.326735,7.718417,0,2,3,4
23380,10.89655,5.76,6.802348,1,2,3,4
23390,16.14332,5.382709,6.559867,0,2,3,4
23400,15.22821,10.43166,9.555929,1,2,3,4
23410,11.46924,8.558765,9.11,1,2,3,4
23420,12.1106,5.795441,6.89942,1,2,3,4
23430,18.84319,5.447537,6.629132,0,2,3,4
23440,41.49797,5.956981,6.586339,0,1,2,3
23450,41.08317,0,0,0,1,2,3
23460,53.26541,0,0,0,1,2,3
23470,49.55332,0,0,0,2,3,4
23480,46.36805,0,0,0,1,3,4
23490,21.64528,0,0,0,1,3,4
23500,21.82591,7.13,6.48874,0,2,3,4
23510,11.9181,5.370168,6.63,0,2,3,4
23520,19.70415,0,0,0,1,3,4
23530,19.30875,0,13.95,0,2,3,4
23540,14.2524,5.347856,0,0,2,3,4
23550,15.49353,0,0,0,2,3,4
23560,24.79596,5.2458,0,0,2,3,4
23570,46.52579,0,0,0,0,2,3
23580,35.41825,5.158806,6.363126,0,1,3,4
23590,17.00378,0,0,0,1,2,4
23600,27.51659,0,0,0,1,2,4
23610,54.38055,0,0,0,1,2,3
23620,42.75246,0,0,0,1,2,3
23630,69.16079,0,0,0,0,2,3
23640,84.13755,0,0,0,1,3,3
23650,75.75056,0,0,0,1,3,3
23660,80.60886,0,0,0,0,2,3
23670,48.87968,0,0,0,0,1,3
23680,42.60102,4.903135,0,1,1,3,4
23690,17.06941,0,0,0,1,2,4
23700,28.19858,0,0,0,1,2,4
23710,40.93793,0,0,0,1,2,3
23720,50.89925,0,0,0,0,2,3
23730,43.88784,0,0,0,0,1,3
23740,55.91163,0,0,0,0,1,3
23750,49.16536,0,0,0,0,1,3
23760,39.72966,0,0,0,0,1,3
23770,71.59112,0,0,0,1,2,3
23780,43.2197,0,0,0,2,3,4
23790,45.2436,0,0,0,1,2,4
23800,28.80013,13.02,9.3,0,1,2,4
23810,26.13119,0,0,0,1,2,4
24010,56.74532,0,0,0,0,1,3
24020,52.25043,0,0,0,0,2,3
24030,94.1254,6.04,0,0,0,2,4
24040,40.51209,0,0,0,0,1,3
24050,51.84707,0,0,0,0,1,3
24060,46.80503,0,0,0,0,2,3
24070,45.51313,0,0,0,0,2,3
24080,52.94757,0,0,0,0,2,3
24090,43.23394,0,0,0,0,1,3
24100,70.19265,0,0,0,0,2,3
24110,43.12646,0,0,0,0,2,3
24120,25.95729,0,0,0,0,1,3
24130,23.56392,0,0,0,1,2,4
24140,61.29153,0,0,0,0,0,3
24150,43.48906,0,0,0,0,0,3
