mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
62310,3268.301,201.1734,341.0361,294.0873,173.7289,511.5557,885.941,331.0493,529.7296,278.2302,26.11198,9.888741,20.41365,10.7201,89.71702,25.98627,95.39246,636,0,0,846.28,81.43683,183.5853,152.8261,428.4317
62320,13.12554,0,0,0,0,0,6.476078,6.64946,0,1303.98,701.5175,39.7976,235.8119,61.1793,140.1792,41.56173,83.93271,0,0,0,1.012154,0,0,0,1.012154
62330,2756.899,96.32592,101.4365,29.36793,141.363,301.8373,787.2984,433.7695,865.501,3101.638,20.98983,345.6588,100.1174,956.1887,506.1729,478.7222,693.7878,0,0,215,1343.394,611.9824,434.6971,137.0299,159.6845
62340,4147.53,250.8861,406.4892,284.5858,305.6201,572.6005,1323.109,360.1834,644.0555,421.9473,38.97653,41.86036,13.20745,13.41325,115.709,55.9067,142.874,860,0,0,1030.805,102.1412,196.8483,169.8288,561.9864
62350,1975.428,80.43365,188.1718,149.0355,232.9886,236.6134,544.9669,250.0547,293.1631,251.7569,69.16404,15.86546,10.78069,43.77808,53.638,18.68979,39.84084,0,0,0,534.075,44.85393,108.3253,150.1133,230.7824
62360,4774.819,239.6285,369.1523,198.0773,359.5078,671.6675,1076.207,695.6937,1164.886,851.6189,11.63072,53.0871,72.11934,32.29328,180.001,62.07642,440.4111,3289,332,0,1444.889,258.683,387.9027,228.7473,569.5557
62370,3840.654,259.149,422.2954,258.0435,335.8997,564.8975,1044.617,266.4817,689.2697,590.4041,194.6162,16.08442,50.05095,123.9158,51.45411,49.07858,105.2041,0,0,0,913.1776,47.70617,157.2726,175.8372,532.3617
62380,140.0343,3.132843,22.93541,3.336622,3.507234,14.62831,80.3797,4.79414,7.319999,1191.475,13.6576,19.6967,11.77037,12.19196,60.92048,126.2479,946.9899,0,0,6488,25.85075,0,0,0,25.85075
62390,3486.036,124.9029,345.7206,246.3325,322.9692,466.4012,1004.395,353.9047,621.4093,632.5881,71.10226,15.4801,21.27015,34.58589,71.53049,80.5197,338.0995,499,1753,0,871.6165,119.102,129.6218,155.784,467.1086
62400,1482.682,124.1194,110.974,92.12105,108.1877,214.4982,465.5923,177.3462,189.8431,187.7486,11.41567,21.89396,11.24415,10.75196,42.66679,9.871132,79.90496,451,0,0,510.1076,120.9514,168.6678,74.09102,146.3974
62410,2357.208,138.6904,240.62,265.1013,283.461,199.2541,759.0964,242.9049,228.0802,1100.009,24.02394,115.9039,64.01948,497.1698,123.5659,189.7899,85.53594,0,0,0,894.0983,350.205,249.0421,78.93404,215.9171
62420,2749.656,74.99506,84.36613,54.51591,196.1508,362.6737,647.9647,292.188,1036.802,1502.492,11.45926,346.0361,28.61752,268.2861,169.9347,290.8633,387.2953,0,0,0,1135.238,385.4331,274.4103,193.1441,282.2506
62430,2765.194,76.03663,126.1124,95.29221,161.6253,217.397,511.2933,438.311,1139.126,229.4845,62.65974,10.46729,17.73525,10.69997,67.3379,22.68572,37.89864,0,0,0,1173.223,480.8665,385.2935,141.8689,165.1936
62440,3558.982,204.2002,380.5531,238.2319,269.8048,460.8752,975.2082,388.1839,641.9251,441.6102,100.505,10.3103,47.3914,17.88226,68.12078,23.47047,173.93,660,0,0,909.2986,78.97869,188.4648,185.5666,456.2885
62450,3755.009,274.2706,434.4974,160.4358,316.7298,609.6999,1155.744,354.1894,449.4425,439.2297,35.05466,16.70045,11.28059,10.7868,200.4792,24.29314,140.6349,645,0,0,972.2138,118.2716,158.895,203.8627,491.1846
62460,5221.751,307.2048,563.4177,374.8631,450.6001,789.7256,1496.114,558.2636,681.5623,493.5556,49.04947,81.99715,49.09459,37.7546,62.87916,58.9771,153.8035,0,0,0,1263.438,161.4373,148.0109,192.7196,761.2704
62470,724.9734,19.53608,23.78517,15.68597,63.44628,105.6215,165.996,78.57568,252.3268,636.7024,150.274,136.6936,16.63725,28.30407,106.2154,116.0245,82.5535,0,0,0,362.936,132.821,144.0031,61.27149,24.84045
62480,6312.433,374.75,569.1446,320.4838,564.3773,1132.275,1822.462,640.9931,887.9472,739.2349,49.79126,63.87053,86.18333,48.29275,97.57945,118.8531,274.6644,564,0,0,1943.653,234.4939,483.7306,500.613,724.8159
62490,5452.435,320.3166,640.9483,460.5776,358.3067,804.3984,1622.018,617.3488,628.5203,592.2463,128.8262,27.01428,29.04013,12.16303,108.9115,41.41575,244.8755,0,1653,0,1345.656,134.3772,217.1683,250.0151,744.0958
