ALL	dwt	0.76	i=251504 and j=250718	line=014E1A
ALL	dwt	0.38	i=250718 and j=250720	line=014E1A
ALL	dwt	0.76	i=210305 and j=210502	line=014E1M
ALL	dwt	0.38	i=210502 and j=234401	line=014E1M
ALL	dwt	0.38	i=234401 and j=234500	line=014E1M
ALL	dwt	1.14	i=234500 and j=231403	line=014E1M
ALL	dwt	0.38	i=231403 and j=233401	line=014E1M
ALL	dwt	0.38	i=231601 and j=233501	line=014E1M
ALL	dwt	0.76	i=233501 and j=231700	line=014E1M
ALL	dwt	0.38	i=231700 and j=233601	line=014E1M
ALL	dwt	0.38	i=233601 and j=233603	line=014E1M
ALL	dwt	0.38	i=233603 and j=232013	line=014E1M
ALL	dwt	0.38	i=232005 and j=232201	line=014E1M
ALL	dwt	0.38	i=250911 and j=250913	line=014E1M
ALL	dwt	0.38	i=251108 and j=251203	line=014E1M
ALL	dwt	0.38	i=251203 and j=251206	line=014E1M
ALL	dwt	0.76	i=252401 and j=251502	line=014E1M
ALL	dwt	0.38	i=251502 and j=251504	line=014E1M
ALL	dwt	0.76	i=251504 and j=250718	line=014E1M
ALL	dwt	0.38	i=250718 and j=250720	line=014E1M
ALL	dwt	0.76	i=210305 and j=210502	line=014E1P
ALL	dwt	0.38	i=210502 and j=234401	line=014E1P
ALL	dwt	0.38	i=234401 and j=234500	line=014E1P
ALL	dwt	1.14	i=234500 and j=231403	line=014E1P
ALL	dwt	0.38	i=231403 and j=233401	line=014E1P
ALL	dwt	0.38	i=231601 and j=233501	line=014E1P
ALL	dwt	0.76	i=233501 and j=231700	line=014E1P
ALL	dwt	0.38	i=231700 and j=233601	line=014E1P
ALL	dwt	0.38	i=232005 and j=232201	line=014E1P
ALL	dwt	0.38	i=250911 and j=251801	line=014E1P
ALL	dwt	0.38	i=251108 and j=252101	line=014E1P
ALL	dwt	0.38	i=251203 and j=252201	line=014E1P
ALL	dwt	0.38	i=252401 and j=252402	line=014E1P
ALL	dwt	0.38	i=252402 and j=251502	line=014E1P
ALL	dwt	0.38	i=251502 and j=252501	line=014E1P
ALL	dwt	0.38	i=251504 and j=252502	line=014E1P
ALL	dwt	0.38	i=252502 and j=250718	line=014E1P
ALL	dwt	0.38	i=252601 and j=250720	line=014E1P
ALL	dwt	0.38	i=250719 and j=250718	line=014W1A
ALL	dwt	0.38	i=250718 and j=251505	line=014W1A
ALL	dwt	0.38	i=251505 and j=251504	line=014W1A
ALL	dwt	0.38	i=251504 and j=251503	line=014W1A
ALL	dwt	0.38	i=251502 and j=251402	line=014W1A
ALL	dwt	0.38	i=251402 and j=252401	line=014W1A
ALL	dwt	0.38	i=251206 and j=251205	line=014W1A
ALL	dwt	0.38	i=251207 and j=251108	line=014W1A
ALL	dwt	0.38	i=250912 and j=250911	line=014W1A
ALL	dwt	0.38	i=224006 and j=223905	line=014W1A
ALL	dwt	0.38	i=233601 and j=231700	line=014W1A
ALL	dwt	0.38	i=231700 and j=233501	line=014W1A
ALL	dwt	0.38	i=233501 and j=231601	line=014W1A
ALL	dwt	1.14	i=231403 and j=234500	line=014W1A
ALL	dwt	0.38	i=234500 and j=234401	line=014W1A
ALL	dwt	0.38	i=234401 and j=210502	line=014W1A
ALL	dwt	0.76	i=210502 and j=210305	line=014W1A
ALL	dwt	0.38	i=250720 and j=250718	line=014W1M
ALL	dwt	0.76	i=250718 and j=251504	line=014W1M
ALL	dwt	0.38	i=251504 and j=251502	line=014W1M
ALL	dwt	0.38	i=251502 and j=252401	line=014W1M
ALL	dwt	0.38	i=251206 and j=251203	line=014W1M
ALL	dwt	0.38	i=251203 and j=251108	line=014W1M
ALL	dwt	0.38	i=250913 and j=250911	line=014W1M
ALL	dwt	0.38	i=224006 and j=223905	line=014W1M
ALL	dwt	0.38	i=232013 and j=233603	line=014W1M
ALL	dwt	0.38	i=233603 and j=233601	line=014W1M
ALL	dwt	0.38	i=233601 and j=231700	line=014W1M
ALL	dwt	0.38	i=231700 and j=233501	line=014W1M
ALL	dwt	0.38	i=233501 and j=231601	line=014W1M
ALL	dwt	1.14	i=231403 and j=234500	line=014W1M
ALL	dwt	0.38	i=234500 and j=234401	line=014W1M
ALL	dwt	0.38	i=234401 and j=210502	line=014W1M
ALL	dwt	0.76	i=210502 and j=210305	line=014W1M
ALL	dwt	0.38	i=250720 and j=250718	line=014W1P
ALL	dwt	0.76	i=250718 and j=251504	line=014W1P
ALL	dwt	0.38	i=251504 and j=251502	line=014W1P
ALL	dwt	0.38	i=251502 and j=252401	line=014W1P
ALL	dwt	0.38	i=251206 and j=251203	line=014W1P
ALL	dwt	0.38	i=251203 and j=251108	line=014W1P
ALL	dwt	0.38	i=250913 and j=250911	line=014W1P
ALL	dwt	0.38	i=224006 and j=223905	line=014W1P
ALL	dwt	0.38	i=233601 and j=231700	line=014W1P
ALL	dwt	0.38	i=231700 and j=233501	line=014W1P
ALL	dwt	0.38	i=233501 and j=231601	line=014W1P
ALL	dwt	1.14	i=231403 and j=234500	line=014W1P
ALL	dwt	0.38	i=234500 and j=234401	line=014W1P
ALL	dwt	0.38	i=234401 and j=210502	line=014W1P
ALL	dwt	0.76	i=210502 and j=210305	line=014W1P
ALL	dwt	0.2	i=240102 and j=240402	line=041E1X
ALL	dwt	0.2	i=240402 and j=240403	line=041E1X
ALL	dwt	0.4	i=241801 and j=240803	line=041E1X
ALL	dwt	0.4	i=241901 and j=242001	line=041E1X
ALL	dwt	0.2	i=242101 and j=242401	line=041E1X
ALL	dwt	0.2	i=242401 and j=242201	line=041E1X
ALL	dwt	0.2	i=242301 and j=242302	line=041E1X
ALL	dwt	0.4	i=242303 and j=262101	line=041E1X
ALL	dwt	0.6	i=262101 and j=260601	line=041E1X
ALL	dwt	0.4	i=260601 and j=262901	line=041E1X
ALL	dwt	0.2	i=262201 and j=261303	line=041E1X
ALL	dwt	0.2	i=262302 and j=261504	line=041E1X
ALL	dwt	0.2	i=261601 and j=262402	line=041W1X
ALL	dwt	0.2	i=262403 and j=261504	line=041W1X
ALL	dwt	0.2	i=261504 and j=262302	line=041W1X
ALL	dwt	0.2	i=261303 and j=262201	line=041W1X
ALL	dwt	0.4	i=262901 and j=260601	line=041W1X
ALL	dwt	0.4	i=260601 and j=262102	line=041W1X
ALL	dwt	0.4	i=262101 and j=242303	line=041W1X
ALL	dwt	0.2	i=242101 and j=242002	line=041W1X
ALL	dwt	0.4	i=242001 and j=241901	line=041W1X
ALL	dwt	0.2	i=240803 and j=241801	line=041W1X
ALL	dwt	0.2	i=240501 and j=240403	line=041W1X
ALL	dwt	0.2	i=240403 and j=240402	line=041W1X
ALL	dwt	0.2	i=240402 and j=240102	line=041W1X
