purpose,gb_i,IX,mode,peakperiod,direction,shares
hbsoc,4,I,Auto,MD,PtoA,0.015833
hbsoc,4,I,Auto,PM,PtoA,0.042687
hbsoc,4,I,Auto,AM,AtoP,0.00329
hbsoc,4,I,Auto,MD,AtoP,0.021694
hbsoc,4,I,Auto,PM,AtoP,0.03924
hbsoc,4,X,Auto,AM,PtoA,0.0136
hbsoc,4,X,Auto,MD,PtoA,0.015718
hbsoc,4,X,Auto,PM,PtoA,0.027762
hbsoc,4,X,Auto,MD,AtoP,0.017865
hbsoc,4,X,Auto,PM,AtoP,0.021853
hbsoc,5,I,Auto,AM,PtoA,0.024662
hbsoc,5,I,Auto,MD,PtoA,0.015063
hbsoc,5,I,Auto,PM,PtoA,0.036284
hbsoc,5,I,Auto,AM,AtoP,0.008834
hbsoc,5,I,Auto,MD,AtoP,0.021294
hbsoc,5,I,Auto,PM,AtoP,0.041663
hbsoc,5,X,Auto,AM,PtoA,0.014267
hbsoc,5,X,Auto,PM,PtoA,0.049923
hbsoc,5,X,Auto,MD,AtoP,0.014867
hbsoc,5,X,Auto,PM,AtoP,0.008154
hbu,1,I,Auto,AM,PtoA,0.147129
hbu,1,I,Auto,MD,PtoA,0.05
hbu,1,I,Auto,MD,AtoP,0.015226
hbu,1,I,Auto,PM,AtoP,0.019524
hbu,1,X,Auto,AM,PtoA,0.128384
hbu,1,X,Auto,MD,PtoA,0.013297
hbu,1,X,Auto,PM,PtoA,0.023208
hbu,1,X,Auto,PM,AtoP,0.062007
hbu,2,I,Auto,AM,PtoA,0.152367
hbu,2,I,Auto,MD,PtoA,0.024802
hbu,2,I,Auto,PM,PtoA,0.011538
hbu,2,I,Auto,AM,AtoP,0.000943
hbu,2,I,Auto,MD,AtoP,0.007608
hbu,2,I,Auto,PM,AtoP,0.080596
hbu,2,X,Auto,AM,PtoA,0.068869
hbu,2,X,Auto,PM,AtoP,0.018867
hbu,3,I,Auto,AM,PtoA,0.058165
hbu,3,I,Auto,MD,PtoA,0.055354
hbu,3,I,Auto,PM,AtoP,0.028535
hbu,3,X,Auto,AM,PtoA,0.077992
hbu,3,X,Auto,MD,PtoA,0.028539
hbu,3,X,Auto,MD,AtoP,0.005837
hbu,3,X,Auto,PM,AtoP,0.051374
hbu,4,I,Auto,AM,PtoA,0.154471
hbu,4,I,Auto,MD,PtoA,0.026397
hbu,4,I,Auto,PM,PtoA,0.013358
hbu,4,I,Auto,AM,AtoP,0.013892
hbu,4,I,Auto,MD,AtoP,0.016719
hbu,4,I,Auto,PM,AtoP,0.038594
hbu,4,X,Auto,AM,PtoA,0.100932
hbu,4,X,Auto,MD,PtoA,0.020894
hbu,4,X,Auto,PM,PtoA,0.011865
hbu,4,X,Auto,MD,AtoP,0.019355
hbu,4,X,Auto,PM,AtoP,0.033913
hbu,5,I,Auto,AM,PtoA,0.463899
hbu,5,I,Auto,AM,AtoP,0.022819
hbu,5,X,Auto,AM,PtoA,0.093926
hbu,5,X,Auto,MD,PtoA,0.015001
hbu,5,X,Auto,PM,PtoA,0.025153
hbu,5,X,Auto,MD,AtoP,0.00655
hbu,5,X,Auto,PM,AtoP,0.024857
hbw,1,I,Auto,AM,PtoA,0.149263
hbw,1,I,Auto,MD,PtoA,0.014151
hbw,1,I,Auto,PM,PtoA,0.009599
hbw,1,I,Auto,AM,AtoP,0.000529
hbw,1,I,Auto,MD,AtoP,0.027121
hbw,1,I,Auto,PM,AtoP,0.0838
hbw,1,X,Auto,AM,PtoA,0.135405
hbw,1,X,Auto,MD,PtoA,0.007517
hbw,1,X,Auto,PM,PtoA,0.005172
hbw,1,X,Auto,AM,AtoP,0.000522
hbw,1,X,Auto,MD,AtoP,0.00983
hbw,1,X,Auto,PM,AtoP,0.104061
hbw,2,I,Auto,AM,PtoA,0.14869
hbw,2,I,Auto,MD,PtoA,0.012693
hbw,2,I,Auto,PM,PtoA,0.004259
hbw,2,I,Auto,AM,AtoP,0.002385
hbw,2,I,Auto,MD,AtoP,0.010931
hbw,2,I,Auto,PM,AtoP,0.111468
hbw,2,X,Auto,AM,PtoA,0.134157
hbw,2,X,Auto,MD,PtoA,0.006583
hbw,2,X,Auto,PM,PtoA,0.001959
hbw,2,X,Auto,AM,AtoP,0.000173
hbw,2,X,Auto,MD,AtoP,0.006143
hbw,2,X,Auto,PM,AtoP,0.106622
hbw,3,I,Auto,AM,PtoA,0.139771
hbw,3,I,Auto,MD,PtoA,0.012937
hbw,3,I,Auto,PM,PtoA,0.00293
hbw,3,I,Auto,AM,AtoP,0.001353
hbw,3,I,Auto,MD,AtoP,0.01949
hbw,3,I,Auto,PM,AtoP,0.1127
hbw,3,X,Auto,AM,PtoA,0.141513
hbw,3,X,Auto,MD,PtoA,0.0043
hbw,3,X,Auto,PM,PtoA,0.001914
hbw,3,X,Auto,AM,AtoP,0.002835
hbw,3,X,Auto,MD,AtoP,0.005579
hbw,3,X,Auto,PM,AtoP,0.115453
hbw,4,I,Auto,AM,PtoA,0.118845
hbw,4,I,Auto,MD,PtoA,0.012213
hbw,4,I,Auto,PM,PtoA,0.011014
hbw,4,I,Auto,AM,AtoP,0.001248
hbw,4,I,Auto,MD,AtoP,0.013994
hbw,4,I,Auto,PM,AtoP,0.104169
hbw,4,X,Auto,AM,PtoA,0.104768
hbw,4,X,Auto,MD,PtoA,0.007163
hbw,4,X,Auto,PM,PtoA,0.002897
hbw,4,X,Auto,AM,AtoP,0.002816
hbw,4,X,Auto,MD,AtoP,0.008405
hbw,4,X,Auto,PM,AtoP,0.111233
hbw,5,I,Auto,AM,PtoA,0.142165
hbw,5,I,Auto,MD,PtoA,0.015995
hbw,5,I,Auto,PM,PtoA,0.007634
hbw,5,I,Auto,MD,AtoP,0.018095
hbw,5,I,Auto,PM,AtoP,0.070513
hbw,5,X,Auto,AM,PtoA,0.087391
hbw,5,X,Auto,MD,PtoA,0.010052
hbw,5,X,Auto,PM,PtoA,0.002092
hbw,5,X,Auto,AM,AtoP,0.002967
hbw,5,X,Auto,MD,AtoP,0.004315
hbw,5,X,Auto,PM,AtoP,0.126926
