mat_id,mo100,mo101,mo102,mo103,mo104,mo105,mo106,mo107,mo108,mo109,mo110
mat_name,d_cbd,d_tc,d_uni,d_ubc,d_sfu,d_air,d_yvr,d_ns,d_dtes,d_fry,d_hosp
mat_desc,cbd dummy,towncentre dummy,university dummy,ubc dummy,sfu dummy,airport dummy,yvr dummy,northshore dummy,downtowneastidedummy,ferrydummy,hospitaldummy
TAZ1700,cbd,towncentre,university,ubc,sfu,airport,yvr,northshore,dtes,ferry,hospital
12080,0,0,0,0,0,0,0,1,0,0,0
12090,0,0,0,0,0,0,0,1,0,0,0
12100,0,0,0,0,0,0,0,1,0,0,0
12110,0,0,0,0,0,0,0,1,0,0,0
12120,0,0,0,0,0,0,0,1,0,0,0
12130,0,0,0,0,0,0,0,1,0,0,0
12140,0,0,0,0,0,0,0,1,0,0,0
12150,0,0,0,0,0,0,0,1,0,0,0
12160,0,0,0,0,0,0,0,1,0,0,0
12170,0,1,0,0,0,0,0,1,0,0,0
12180,0,0,0,0,0,0,0,1,0,0,0
12190,0,0,0,0,0,0,0,1,0,0,0
12200,0,0,0,0,0,0,0,1,0,0,0
12210,0,0,0,0,0,0,0,1,0,0,0
12220,0,0,0,0,0,0,0,1,0,0,0
12230,0,0,0,0,0,0,0,1,0,0,0
12240,0,0,0,0,0,0,0,1,0,0,0
12250,0,0,0,0,0,0,0,1,0,0,0
12260,0,0,0,0,0,0,0,1,0,0,0
12270,0,0,0,0,0,0,0,1,0,0,0
12280,0,0,0,0,0,0,0,1,0,0,0
12290,0,0,0,0,0,0,0,1,0,0,0
12300,0,0,1,0,0,0,0,1,0,0,0
12310,0,0,0,0,0,0,0,1,0,0,0
12320,0,0,0,0,0,0,0,1,0,0,0
12330,0,0,0,0,0,0,0,1,0,0,0
12340,0,0,0,0,0,0,0,1,0,0,0
12350,0,0,0,0,0,0,0,1,0,0,0
12360,0,0,0,0,0,0,0,1,0,0,0
12370,0,0,0,0,0,0,0,1,0,0,0
12380,0,0,0,0,0,0,0,1,0,0,0
12390,0,0,0,0,0,0,0,1,0,0,0
12400,0,0,0,0,0,0,0,1,0,0,0
12410,0,0,0,0,0,0,0,1,0,0,0
12420,0,0,0,0,0,0,0,1,0,0,0
13010,0,0,0,0,0,0,0,1,0,0,0
13020,0,0,0,0,0,0,0,1,0,0,0
13030,0,0,0,0,0,0,0,1,0,0,0
13040,0,0,0,0,0,0,0,1,0,0,0
13050,0,0,0,0,0,0,0,1,0,0,0
13060,0,1,0,0,0,0,0,1,0,0,0
13070,0,1,0,0,0,0,0,1,0,0,0
13080,0,0,0,0,0,0,0,1,0,0,0
13090,0,0,0,0,0,0,0,1,0,0,0
13100,0,0,0,0,0,0,0,1,0,0,0
13110,0,0,0,0,0,0,0,1,0,0,0
13120,0,0,0,0,0,0,0,1,0,0,0
13130,0,1,0,0,0,0,0,1,0,0,0
13140,0,1,0,0,0,0,0,1,0,0,0
13150,0,0,0,0,0,0,0,1,0,0,0
13160,0,0,0,0,0,0,0,1,0,0,0
13170,0,0,0,0,0,0,0,1,0,0,0
13180,0,1,0,0,0,0,0,1,0,0,0
13190,0,1,0,0,0,0,0,1,0,0,1
13200,0,0,0,0,0,0,0,1,0,0,0
13210,0,1,0,0,0,0,0,1,0,1,0
13220,0,1,0,0,0,0,0,1,0,0,0
13230,0,1,0,0,0,0,0,1,0,0,0
13240,0,1,0,0,0,0,0,1,0,0,0
13250,0,0,0,0,0,0,0,1,0,0,0
13260,0,1,0,0,0,0,0,1,0,0,0
13270,0,0,0,0,0,0,0,1,0,0,0
13280,0,0,0,0,0,0,0,1,0,0,0
13290,0,0,0,0,0,0,0,1,0,0,0
13300,0,1,0,0,0,0,0,1,0,0,0
13310,0,0,0,0,0,0,0,1,0,0,0
13320,0,0,0,0,0,0,0,1,0,0,0
13330,0,0,0,0,0,0,0,1,0,0,0
14010,0,0,0,0,0,0,0,1,0,0,0
14020,0,0,0,0,0,0,0,1,0,0,0
14030,0,0,0,0,0,0,0,1,0,0,0
14040,0,0,0,0,0,0,0,1,0,0,0
21010,0,0,0,1,0,0,0,0,0,0,0
21020,0,0,1,1,0,0,0,0,0,0,0
21030,0,0,0,1,0,0,0,0,0,0,1
21040,0,0,1,0,0,0,0,0,0,0,0
21050,0,0,0,0,0,0,0,0,0,0,0
21060,0,0,0,1,0,0,0,0,0,0,1
21070,0,0,0,1,0,0,0,0,0,0,0
21080,0,0,0,0,0,0,0,0,0,0,0
21090,0,0,0,0,0,0,0,0,0,0,0
21100,0,0,0,1,0,0,0,0,0,0,0
21110,0,0,0,0,0,0,0,0,0,0,0
21120,0,0,1,1,0,0,0,0,0,0,0
21130,0,0,1,1,0,0,0,0,0,0,0
21140,0,0,0,0,0,0,0,0,0,0,0
21150,0,0,0,0,0,0,0,0,0,0,0
21160,0,0,0,0,0,0,0,0,0,0,0
22010,1,0,0,0,0,0,0,0,0,0,0
22020,1,0,0,0,0,0,0,0,0,0,0
22030,1,0,0,0,0,0,0,0,0,0,0
22040,1,0,0,0,0,0,0,0,0,0,0
22050,1,0,0,0,0,0,0,0,0,0,0
22060,1,0,0,0,0,0,0,0,0,0,0
22070,1,0,0,0,0,0,0,0,0,0,0
22080,1,0,0,0,0,0,0,0,0,0,0
22090,1,0,0,0,0,0,0,0,0,0,0
22100,1,0,0,0,0,0,0,0,0,0,0
22110,1,0,0,0,0,0,0,0,0,0,0
22120,1,0,0,0,0,0,0,0,0,0,0
22130,1,0,0,0,0,0,0,0,0,0,0
22140,1,0,0,0,0,0,0,0,0,0,0
22150,1,0,0,0,0,0,0,0,0,0,0
22160,1,0,0,0,0,0,0,0,0,0,0
22170,1,0,0,0,0,0,0,0,0,0,0
22180,1,0,0,0,0,0,0,0,0,0,0
22190,1,0,0,0,0,0,0,0,0,0,0
22200,1,0,0,0,0,0,0,0,0,0,0
22210,1,0,0,0,0,0,0,0,0,0,0
22220,1,0,0,0,0,0,0,0,0,0,0
22230,1,0,0,0,0,0,0,0,0,0,0
22240,1,0,0,0,0,0,0,0,0,0,0
22250,1,0,0,0,0,0,0,0,0,0,0
22260,1,0,0,0,0,0,0,0,0,0,0
22270,1,0,0,0,0,0,0,0,0,0,0
22280,1,0,0,0,0,0,0,0,0,0,0
