purpose,geo,gb_i,IX,mode,peakperiod,direction,shares
hbsch,A,5,IX,Rail,PM,AtoP,0.027532
hbsch,A,9999,IX,Transit,MD,PtoA,0.002895
hbsch,A,9999,IX,Transit,MD,AtoP,0.001494
hbshop,A,9999,IX,Active,AM,PtoA,0.005502
hbshop,A,9999,IX,Active,AM,AtoP,0.001868
hbshop,A,9999,IX,Active,MD,PtoA,0.034866
hbshop,A,9999,IX,Active,MD,AtoP,0.03511
hbshop,A,9999,IX,Active,PM,PtoA,0.03246
hbshop,A,9999,IX,Active,PM,AtoP,0.05917
hbshop,A,9999,IX,Auto,AM,PtoA,0.004183
hbshop,A,9999,IX,Auto,AM,AtoP,0.001041
hbshop,A,9999,IX,Auto,MD,PtoA,0.032313
hbshop,A,9999,IX,Auto,MD,AtoP,0.051872
hbshop,A,9999,IX,Auto,PM,PtoA,0.022292
hbshop,A,9999,IX,Auto,PM,AtoP,0.063327
hbshop,A,1,IX,Bus,AM,PtoA,0.010162
hbshop,A,2,IX,Bus,AM,PtoA,0.009147
hbshop,A,3,IX,Bus,AM,PtoA,0.008635
hbshop,A,4,IX,Bus,AM,PtoA,0.008635
hbshop,A,5,IX,Bus,AM,PtoA,0.009147
hbshop,A,1,IX,Bus,AM,AtoP,0.001415
hbshop,A,2,IX,Bus,AM,AtoP,0.001274
hbshop,A,3,IX,Bus,AM,AtoP,0.001203
hbshop,A,4,IX,Bus,AM,AtoP,0.001203
hbshop,A,5,IX,Bus,AM,AtoP,0.001274
hbshop,A,1,IX,Bus,PM,PtoA,0.015731
hbshop,A,2,IX,Bus,PM,PtoA,0.015731
hbshop,A,3,IX,Bus,PM,PtoA,0.015731
hbshop,A,4,IX,Bus,PM,PtoA,0.015731
hbshop,A,5,IX,Bus,PM,PtoA,0.015731
hbshop,A,1,IX,Bus,PM,AtoP,0.05902
hbshop,A,2,IX,Bus,PM,AtoP,0.05902
hbshop,A,3,IX,Bus,PM,AtoP,0.05902
hbshop,A,4,IX,Bus,PM,AtoP,0.05902
hbshop,A,5,IX,Bus,PM,AtoP,0.05902
hbshop,A,1,IX,Rail,AM,PtoA,0.010675
hbshop,A,2,IX,Rail,AM,PtoA,0.009147
hbshop,A,3,IX,Rail,AM,PtoA,0.009147
hbshop,A,4,IX,Rail,AM,PtoA,0.009659
hbshop,A,5,IX,Rail,AM,PtoA,0.009147
hbshop,A,1,IX,Rail,AM,AtoP,0.001487
hbshop,A,2,IX,Rail,AM,AtoP,0.001274
hbshop,A,3,IX,Rail,AM,AtoP,0.001274
hbshop,A,4,IX,Rail,AM,AtoP,0.001345
hbshop,A,5,IX,Rail,AM,AtoP,0.001274
hbshop,A,1,IX,Rail,PM,PtoA,0.016551
hbshop,A,2,IX,Rail,PM,PtoA,0.015731
hbshop,A,3,IX,Rail,PM,PtoA,0.015731
hbshop,A,4,IX,Rail,PM,PtoA,0.015731
hbshop,A,5,IX,Rail,PM,PtoA,0.015731
hbshop,A,1,IX,Rail,PM,AtoP,0.062094
hbshop,A,2,IX,Rail,PM,AtoP,0.05902
hbshop,A,3,IX,Rail,PM,AtoP,0.05902
hbshop,A,4,IX,Rail,PM,AtoP,0.05902
hbshop,A,5,IX,Rail,PM,AtoP,0.05902
hbshop,A,9999,IX,Transit,MD,PtoA,0.04934
hbshop,A,9999,IX,Transit,MD,AtoP,0.052072
hbsoc,A,9999,IX,Active,AM,PtoA,0.016462
hbsoc,A,9999,IX,Active,AM,AtoP,0.005801
hbsoc,A,9999,IX,Active,MD,PtoA,0.023343
hbsoc,A,9999,IX,Active,MD,AtoP,0.031978
hbsoc,A,9999,IX,Active,PM,PtoA,0.036027
hbsoc,A,9999,IX,Active,PM,AtoP,0.04316
hbsoc,A,9999,IX,Auto,AM,PtoA,0.016143
hbsoc,A,9999,IX,Auto,AM,AtoP,0.003904
hbsoc,A,9999,IX,Auto,MD,PtoA,0.022746
hbsoc,A,9999,IX,Auto,MD,AtoP,0.022396
hbsoc,A,9999,IX,Auto,PM,PtoA,0.037496
hbsoc,A,9999,IX,Auto,PM,AtoP,0.036554
hbsoc,A,1,IX,Bus,AM,PtoA,0.025735
hbsoc,A,2,IX,Bus,AM,PtoA,0.023164
hbsoc,A,3,IX,Bus,AM,PtoA,0.021867
hbsoc,A,4,IX,Bus,AM,PtoA,0.021867
hbsoc,A,5,IX,Bus,AM,PtoA,0.023164
hbsoc,A,1,IX,Bus,AM,AtoP,0.000294
hbsoc,A,2,IX,Bus,AM,AtoP,0.000265
hbsoc,A,3,IX,Bus,AM,AtoP,0.00025
hbsoc,A,4,IX,Bus,AM,AtoP,0.00025
hbsoc,A,5,IX,Bus,AM,AtoP,0.000265
hbsoc,A,1,IX,Bus,PM,PtoA,0.033228
hbsoc,A,2,IX,Bus,PM,PtoA,0.033228
hbsoc,A,3,IX,Bus,PM,PtoA,0.033228
hbsoc,A,4,IX,Bus,PM,PtoA,0.033228
hbsoc,A,5,IX,Bus,PM,PtoA,0.033228
hbsoc,A,1,IX,Bus,PM,AtoP,0.042129
hbsoc,A,2,IX,Bus,PM,AtoP,0.042129
hbsoc,A,3,IX,Bus,PM,AtoP,0.042129
hbsoc,A,4,IX,Bus,PM,AtoP,0.042129
hbsoc,A,5,IX,Bus,PM,AtoP,0.042129
hbsoc,A,1,IX,Rail,AM,PtoA,0.027032
hbsoc,A,2,IX,Rail,AM,PtoA,0.023164
hbsoc,A,3,IX,Rail,AM,PtoA,0.023164
hbsoc,A,4,IX,Rail,AM,PtoA,0.024461
hbsoc,A,5,IX,Rail,AM,PtoA,0.023164
hbsoc,A,1,IX,Rail,AM,AtoP,0.000309
hbsoc,A,2,IX,Rail,AM,AtoP,0.000265
hbsoc,A,3,IX,Rail,AM,AtoP,0.000265
hbsoc,A,4,IX,Rail,AM,AtoP,0.00028
hbsoc,A,5,IX,Rail,AM,AtoP,0.000265
hbsoc,A,1,IX,Rail,PM,PtoA,0.034959
hbsoc,A,2,IX,Rail,PM,PtoA,0.033228
hbsoc,A,3,IX,Rail,PM,PtoA,0.033228
hbsoc,A,4,IX,Rail,PM,PtoA,0.033228
hbsoc,A,5,IX,Rail,PM,PtoA,0.033228
hbsoc,A,1,IX,Rail,PM,AtoP,0.044323
hbsoc,A,2,IX,Rail,PM,AtoP,0.042129
hbsoc,A,3,IX,Rail,PM,AtoP,0.042129
hbsoc,A,4,IX,Rail,PM,AtoP,0.042129
hbsoc,A,5,IX,Rail,PM,AtoP,0.042129
hbsoc,A,9999,IX,Transit,MD,PtoA,0.032829
hbsoc,A,9999,IX,Transit,MD,AtoP,0.027891
hbu,A,9999,IX,Active,AM,PtoA,0.1243
hbu,A,9999,IX,Active,MD,PtoA,0.015638
hbu,A,9999,IX,Active,MD,AtoP,0.011485
hbu,A,9999,IX,Active,PM,PtoA,0.004526
hbu,A,9999,IX,Active,PM,AtoP,0.096537
hbu,A,9999,IX,Auto,AM,PtoA,0.141912
hbu,A,9999,IX,Auto,AM,AtoP,0.005316
hbu,A,9999,IX,Auto,MD,PtoA,0.02929
hbu,A,9999,IX,Auto,MD,AtoP,0.016857
hbu,A,9999,IX,Auto,PM,PtoA,0.01143
hbu,A,9999,IX,Auto,PM,AtoP,0.049363
hbu,A,1,IX,Bus,AM,PtoA,0.150337
hbu,A,2,IX,Bus,AM,PtoA,0.135317
hbu,A,3,IX,Bus,AM,PtoA,0.127739
hbu,A,4,IX,Bus,AM,PtoA,0.127739
hbu,A,5,IX,Bus,AM,PtoA,0.135317
hbu,A,1,IX,Bus,PM,PtoA,0.004899
hbu,A,2,IX,Bus,PM,PtoA,0.004899
hbu,A,3,IX,Bus,PM,PtoA,0.004899
hbu,A,4,IX,Bus,PM,PtoA,0.004899
hbu,A,5,IX,Bus,PM,PtoA,0.004899
hbu,A,1,IX,Bus,PM,AtoP,0.099269
hbu,A,2,IX,Bus,PM,AtoP,0.099269
hbu,A,3,IX,Bus,PM,AtoP,0.099269
hbu,A,4,IX,Bus,PM,AtoP,0.099269
hbu,A,5,IX,Bus,PM,AtoP,0.099269
hbu,A,1,IX,Rail,AM,PtoA,0.157915
hbu,A,2,IX,Rail,AM,PtoA,0.135317
hbu,A,3,IX,Rail,AM,PtoA,0.135317
hbu,A,4,IX,Rail,AM,PtoA,0.142895
hbu,A,5,IX,Rail,AM,PtoA,0.135317
hbu,A,1,IX,Rail,PM,PtoA,0.005154
hbu,A,2,IX,Rail,PM,PtoA,0.004899
hbu,A,3,IX,Rail,PM,PtoA,0.004899
hbu,A,4,IX,Rail,PM,PtoA,0.004899
hbu,A,5,IX,Rail,PM,PtoA,0.004899
hbu,A,1,IX,Rail,PM,AtoP,0.10444
hbu,A,2,IX,Rail,PM,AtoP,0.099269
