c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gy12    all   1063.09
   gy13    all  250.6394
   gy14    all  1272.408
a matrix=mo94   s322-   0.0 Segment H3W2M                           
   gy01    all  224.4498
   gy02    all  1189.231
   gy03    all   723.901
   gy04    all  4412.347
   gy05    all  3827.467
   gy06    all  3421.634
   gy07    all  2370.497
   gy08    all  493.0774
   gy09    all  4911.649
   gy10    all  991.7304
   gy11    all  1406.826
   gy12    all  1397.926
   gy13    all  556.9596
   gy14    all  2501.852
a matrix=mo95   s332-   0.0 Segment H3W3M                           
   gy01    all  49.74565
   gy02    all  209.2939
   gy03    all  151.7267
   gy04    all  1242.208
   gy05    all  1477.877
   gy06    all  1124.864
   gy07    all  881.0362
   gy08    all  204.3074
   gy09    all  2450.037
   gy10    all  331.4276
   gy11    all   441.499
   gy12    all  654.7777
   gy13    all  365.1419
   gy14    all  914.2395
a matrix=mo96   s402-   0.0 Segment H4+W0M                          
   gy01    all  14.99276
   gy02    all  26.45223
   gy03    all  162.7159
   gy04    all  211.7025
   gy05    all  114.1559
   gy06    all  17.01265
   gy07    all  15.80941
   gy08    all  2.143135
   gy09    all  180.5243
   gy10    all  109.7153
   gy11    all  12.18324
   gy12    all  70.02901
   gy13    all  7.136803
   gy14    all    104.96
a matrix=mo97   s412-   0.0 Segment H4+W1M                          
   gy01    all  103.5675
   gy02    all   335.289
   gy03    all  321.3712
   gy04    all  1723.029
   gy05    all  1847.363
   gy06    all  1333.039
   gy07    all  963.4086
   gy08    all  242.7077
   gy09    all  3107.269
   gy10    all   681.435
   gy11    all  624.5651
   gy12    all  1028.783
   gy13    all  178.2884
   gy14    all  1639.363
a matrix=mo98   s422-   0.0 Segment H4+W2M                          
   gy01    all  337.8741
   gy02    all  1421.732
   gy03    all  578.4832
   gy04    all  6737.625
   gy05    all   4669.26
   gy06    all  4335.835
   gy07    all  3361.436
   gy08    all   1008.19
   gy09    all  8866.651
   gy10    all  2389.662
   gy11    all  1669.487
   gy12    all  2774.242
   gy13    all  980.4508
   gy14    all  4728.658
a matrix=mo99   s432-   0.0 Segment H4+W3+M                         
   gy01    all  208.0944
   gy02    all  1281.543
   gy03    all   134.176
   gy04    all  4263.944
   gy05    all  1700.795
   gy06    all  1987.852
   gy07    all  2028.766
   gy08    all  519.0442
   gy09    all  7052.657
   gy10    all  607.4557
   gy11    all  830.6647
   gy12    all  1781.139
   gy13    all   469.737
   gy14    all  3062.342
a matrix=mo100   s103-   0.0 Segment H1W0H                           
   gy01    all  716.1528
   gy02    all  1078.015
   gy03    all  976.3169
   gy04    all  2629.824
   gy05    all  1032.348
   gy06    all  361.9427
   gy07    all  564.2461
   gy08    all  416.5378
   gy09    all  804.8953
   gy10    all  944.1465
   gy11    all  207.9679
   gy12    all  825.0102
   gy13    all   163.694
   gy14    all  576.5883
a matrix=mo101   s113-   0.0 Segment H1W1H                           
   gy01    all  1298.098
   gy02    all  3093.949
   gy03    all  7330.491
   gy04    all  16480.38
   gy05    all  7944.984
   gy06    all  3732.332
   gy07    all  2582.622
   gy08    all  719.9621
   gy09    all  5655.422
   gy10    all  1685.084
   gy11    all  1385.852
   gy12    all  2427.432
   gy13    all  566.4181
   gy14    all  2334.176
a matrix=mo102   s203-   0.0 Segment H2W0H                           
