t matrices
 gz2 gz5310:.00092
 gz2 gz5320:.00183
 gz2 gz5330:.00684
 gz2 gz5350:.00324
 gz2 gz5360:.00537
 gz2 gz5370:.00622
 gz2 gz5400:.00206
 gz2 gz5410:.00200
 gz2 gz5420:.00255
 gz2 gz5430:.00007
 gz2 gz5440:.00069
 gz2 gz5450:.00029
 gz2 gz5460:.00154
 gz2 gz5500:.00134
 gz2 gz5510:.00088
 gz2 gz5520:.00069
 gz2 gz5530:.00258
 gz2 gz5540:.00196
 gz2 gz5550:.00003
 gz2 gz5560:.00026
 gz2 gz5570:.00095
 gz2 gz5590:.00026
 gz2 gz5600:.00072
 gz2 gz5610:.00147
 gz2 gz5620:.00010
 gz2 gz5630:.00088
 gz2 gz5640:.00203
 gz2 gz5650:.00003
 gz2 gz5700:.00033
 gz2 gz5710:.00478
 gz2 gz5720:.00131
 gz2 gz5730:.00226
 gz2 gz5740:.00092
 gz2 gz5800:.00072
 gz2 gz5810:.00173
 gz2 gz5820:.00118
 gz2 gz5830:.00043
 gz2 gz5840:.00144
 gz2 gz5850:.00105
 gz2 gz5860:.00177
 gz2 gz6000:.00219
 gz2 gz6010:.00111
 gz2 gz6020:.00023
 gz2 gz6030:.00023
 gz2 gz6040:.00065
 gz2 gz6050:.00052
 gz2 gz6060:.00167
 gz2 gz6070:.00088
 gz2 gz6080:.00082
 gz2 gz6090:.00157
 gz2 gz6100:.00118
 gz2 gz6110:.00111
 gz2 gz6120:.00065
 gz2 gz6130:.00131
 gz2 gz6140:.00105
 gz2 gz6150:.00082
 gz2 gz6160:.00137
 gz2 gz6170:.00546
 gz2 gz6220:.00075
 gz2 gz6230:.00144
 gz2 gz6240:.00072
 gz2 gz6250:.00105
 gz2 gz6260:.00128
 gz2 gz6270:.00098
 gz2 gz6280:.00121
 gz2 gz6290:.00065
 gz2 gz6300:.00088
 gz2 gz6310:.00013
 gz2 gz6320:.00049
 gz2 gz6330:.00003
 gz2 gz6340:.00039
 gz2 gz6350:.00003
 gz2 gz6360:.00079
 gz2 gz6370:.00033
 gz2 gz6380:.00079
 gz2 gz6390:.00052
 gz2 gz6400:.00196
 gz2 gz6410:.00222
 gz2 gz6420:.00059
 gz2 gz6430:.00481
 gz2 gz6440:.00216
 gz2 gz6450:.00285
 gz2 gz6460:.01878
 gz2 gz6470:.00471
 gz2 gz6480:.00376
 gz2 gz6700:.00245
 gz2 gz6710:.00167
 gz2 gz6720:.00147
 gz2 gz6730:.00131
 gz2 gz6740:.00046
 gz2 gz6750:.00448
 gz2 gz6760:.00095
 gz2 gz6770:.00118
 gz2 gz6780:.04397
 gz2 gz6790:.05098
 gz2 gz6800:.00906
 gz2 gz6810:.00219
 gz2 gz7000:.00101
 gz2 gz7010:.00173
 gz2 gz7020:.00101
 gz2 gz7030:.00239
 gz2 gz7040:.00052
 gz2 gz7050:.00115
 gz2 gz7060:.00209
 gz2 gz7070:.00059
 gz2 gz7080:.00049
 gz2 gz7100:.00157
 gz2 gz7110:.00357
 gz2 gz7120:.00530
 gz2 gz7130:.00108
 gz2 gz7140:.00124
 gz2 gz7150:.00108
 gz2 gz7160:.00003
 gz2 gz7170:.00108
 gz2 gz7180:.00425
 gz2 gz7190:.00118
 gz2 gz7200:.00517
 gz2 gz7210:.00298
 gz2 gz7220:.00098
 gz2 gz7230:.00118
 gz2 gz7240:.00072
 gz2 gz7250:.00236
 gz2 gz7260:.00056
 gz2 gz7270:.00291
 gz2 gz7280:.00065
 gz2 gz7290:.00046
 gz2 gz7300:.00478
 gz2 gz7310:.00003
 gz2 gz7320:.00033
 gz2 gz7330:.00039
 gz2 gz7340:.00128
 gz2 gz7350:.00232
 gz2 gz7360:.00016
 gz2 gz7370:.00029
 gz2 gz7380:.00016
 gz2 gz7390:.00144
 gz2 gz7400:.00072
 gz2 gz7410:.00782
 gz2 gz7420:.00134
 gz2 gz7430:.00010
 gz2 gz7440:.00101
 gz2 gz7450:.00059
 gz2 gz7460:.00350
 gz2 gz7470:.01106
 gz2 gz7480:.00298
 gz2 gz7490:.00010
 gz2 gz7500:.00190
 gz2 gz7510:.00013
 gz2 gz7520:.00020
 gz2 gz7530:.00056
 gz2 gz7540:.00052
 gz2 gz7550:.00046
 gz2 gz7560:.00023
 gz2 gz7570:.00180
 gz2 gz7580:.00056
 gz2 gz7590:.00069
 gz2 gz7600:.00141
 gz2 gz7610:.00065
 gz2 gz7620:.00036
 gz2 gz7630:.00098
 gz2 gz7640:.00020
 gz2 gz7650:.00137
 gz2 gz7660:.00039
 gz2 gz7670:.00147
 gz2 gz7680:.00170
 gz2 gz7690:.00046
 gz2 gz7700:.00010
 gz2 gz7710:.00007
 gz2 gz7720:.00664
 gz2 gz7730:.00023
 gz2 gz7740:.01161
 gz2 gz7750:.00016
 gz2 gz7760:.00131
 gz2 gz7770:.00108
 gz2 gz7780:.00108
 gz2 gz7790:.00039
 gz2 gz7800:.06246
 gz2 gz7810:.00360
 gz2 gz7820:.00049
 gz2 gz7830:.00108
 gz2 gz7840:.00144
 gz2 gz7850:.00029
 gz2 gz7860:.00049
 gz2 gz7870:.00085
 gz2 gz7880:.00029
 gz2 gz7890:.00245
 gz2 gz7900:.00245
 gz2 gz7910:.00726
 gz2 gz7920:.00324
 gz2 gz7930:.00870
 gz2 gz8000:.00020
 gz2 gz8010:.00016
 gz2 gz8020:.00033
 gz2 gz8030:.00059
 gz2 gz8040:.00023
 gz2 gz8050:.00013
 gz2 gz8060:.00131
 gz2 gz8070:.00134
 gz2 gz8080:.00124
 gz2 gz8090:.00020
 gz2 gz8100:.00020
 gz2 gz8110:.00003
 gz2 gz8120:.00007
 gz2 gz8130:.00010
 gz2 gz8140:.00016
 gz2 gz8150:.00010
 gz2 gz8160:.00010
 gz2 gz8170:.00029
 gz2 gz8180:.00036
 gz2 gz8300:.00092
 gz2 gz8310:.00196
 gz2 gz8320:.00164
 gz2 gz8330:.00108
 gz2 gz8340:.00020
 gz2 gz8350:.00039
 gz2 gz8360:.00111
 gz2 gz8370:.00036
 gz2 gz8400:.00723
 gz2 gz8410:.00029
 gz2 gz8420:.00085
 gz2 gz8430:.00170
 gz2 gz8440:.00020
 gz2 gz8450:.00128
 gz2 gz8460:.00147
 gz2 gz8470:.00013
 gz2 gz8480:.00039
 gz2 gz8490:.00016
 gz2 gz8500:.00007
 gz2 gz8510:.00029
 gz2 gz8520:.00039
 gz2 gz8530:.00069
 gz2 gz8540:.00222
 gz2 gz8550:.00249
 gz2 gz8560:.00039
 gz2 gz8570:.00046
 gz2 gz8580:.00026
 gz2 gz8590:.00157
 gz2 gz8600:.00193
 gz2 gz8610:.00065
 gz2 gz8620:.00200
 gz2 gz8630:.00079
 gz2 gz8640:.00033
 gz2 gz8650:.00082
 gz2 gz8660:.00193
 gz2 gz8670:.00092
 gz2 gz8680:.00072
 gz2 gz8690:.00033
 gz2 gz8700:.00193
 gz2 gz8710:.00023
 gz2 gz8720:.00036
 gz2 gz8730:.00033
 gz2 gz8740:.00026
 gz2 gz8750:.00059
 gz2 gz8760:.00046
 gz2 gz8770:.00029
 gz2 gz8780:.00075
 gz2 gz8790:.00043
 gz2 gz8800:.00072
 gz2 gz8810:.00043
 gz2 gz8820:.00075
 gz2 gz8830:.00216
 gz2 gz8840:.00222
 gz2 gz9050:.00046
 gz2 gz9090:.00438
 gz2 gz9160:.00111
 gz2 gz9170:.00065
 gz2 gz9180:.00033
 gz2 gz9190:.01894
 gz2 gz9200:.00020
 gz2 gz9300:.00239
 gz2 gz9310:.00360
 gz2 gz9320:.00108
 gz2 gz9330:.00059
 gz2 gz9340:.00141
 gz2 gz9350:.00278
 gz2 gz9360:.01080
 gz2 gz9370:.00075
 gz2 gz9380:.00092
 gz2 gz9390:.00167
 gz2 gz9400:.01688
 gz2 gz9410:.00137
 gz2 gz9420:.00628
 gz2 gz9430:.00556
 gz2 gz9440:.00069
 gz2 gz9450:.00144
 gz2 gz9460:.00121
 gz2 gz9470:.00079
 gz2 gz9500:.00471
 gz2 gz9510:.00239
 gz2 gz9520:.00651
 gz2 gz9530:.00079
 gz2 gz9540:.00147
 gz2 gz9550:.00128
 gz2 gz9560:.00115
 gz2 gz9570:.00144
 gz2 gz9610:.00746
 gz2 gz9620:.03828
 gz2 gz9650:.01332
 gz2 gz9670:.00095
 gz2 gz9680:.00023
 gz2 gz9690:.00595
 gz2 gz9710:.00007
 gz2 gz9720:.00003
 gz2 gz9810:.00559
 gz3 gz2:.07536
 gz5 gz8:.32760
 gz5 gz10:.32760
 gz8 gz1000:.14950
 gz8 gz1100:.00012
 gz8 gz1260:.00037
 gz8 gz1270:.00098
 gz8 gz1280:.00074
 gz8 gz1290:.00098
 gz8 gz1620:.00012
 gz8 gz1630:.00012
 gz8 gz1640:.00037
 gz8 gz1650:.00197
 gz8 gz1660:.00037
 gz8 gz1670:.00012
 gz8 gz1680:.00062
 gz8 gz1690:.00111
 gz8 gz1700:.00012
 gz8 gz1710:.00037
 gz8 gz1930:.00062
 gz8 gz3000:.00111
 gz8 gz3010:.00148
 gz8 gz3020:.00074
 gz8 gz3030:.00148
 gz8 gz3040:.00135
 gz8 gz3050:.00025
 gz8 gz3060:.00025
 gz8 gz3070:.00049
 gz8 gz3080:.00098
 gz8 gz3090:.00049
 gz8 gz3100:.00037
 gz8 gz3110:.00049
 gz8 gz3150:.00037
 gz8 gz3160:.00308
 gz8 gz3180:.00012
 gz8 gz3210:.00148
 gz8 gz3220:.00062
 gz8 gz3230:.00049
 gz8 gz3240:.00049
 gz8 gz3250:.00086
 gz8 gz3260:.00037
 gz8 gz3270:.00111
 gz8 gz3280:.00037
 gz8 gz3290:.00062
 gz8 gz3330:.00098
 gz8 gz3340:.00221
 gz8 gz3350:.00098
 gz8 gz3360:.00098
 gz8 gz3400:.00012
 gz8 gz3410:.00025
 gz8 gz3420:.00086
 gz8 gz3430:.00283
 gz8 gz3440:.00258
 gz8 gz3450:.00148
 gz8 gz3460:.00160
 gz8 gz3470:.00345
 gz8 gz3480:.00258
 gz8 gz3490:.00123
 gz8 gz3500:.00025
 gz8 gz3510:.00148
