c Emme Module:    3.14(v15101)  Date: 14-08-30 12:25   User: E496/HFA......none
c Project:        2011_DB_Assigning_FMS                                       
t matrices
 gg13 gg20:4.45117604826906
 gg13 gg21:2.78868860855411
 gg13 gg22:1.12620116883916
 gg13 gg23:0.643543525050948
 gg13 gg24:0.53628627087579
 gg13 gg25:0.589914897963369
 gg13 gg26:3.3249748794299
 gg13 gg27:6.75720701303496
 gg14 gg1:12.9859615384615
 gg14 gg2:10.0996875
 gg14 gg4:1.17982979592674
 gg14 gg5:3.00320311690442
 gg14 gg6:3.59311801486779
 gg14 gg7:1.23345842301432
 gg14 gg8:1.60885881262737
 gg14 gg9:0.697172152138527
 gg14 gg10:0.858058033401264
 gg14 gg11:0.268143135437895
 gg14 gg12:3.91488977739327
 gg14 gg13:15.4986732283103
 gg14 gg14:37.4327817071302
 gg14 gg15:72.5492647058824
 gg14 gg16:19.8962206494918
 gg14 gg17:0.911686660488843
 gg14 gg18:2.94957448981685
 gg14 gg19:10.6184681633406
 gg14 gg20:7.99066543604927
 gg14 gg21:4.18303291283116
 gg14 gg22:1.60885881262737
 gg14 gg23:8.6878375881878
 gg14 gg24:1.44797293136463
 gg14 gg25:2.14514508350316
 gg14 gg26:6.3818066234219
 gg14 gg27:17.0002747867625
 gg15 gg1:6.09994265281935
 gg15 gg2:6.33388495970297
 gg15 gg4:0.628676470588235
 gg15 gg5:4.58933823529412
 gg15 gg6:11.9448529411765
 gg15 gg7:2.89191176470588
 gg15 gg8:2.20036764705882
 gg15 gg9:0.88014705882353
 gg15 gg10:1.38308823529412
 gg15 gg11:1.00588235294118
 gg15 gg12:8.36139705882353
 gg15 gg13:14.5224264705882
 gg15 gg14:20.4948529411765
 gg15 gg15:45.7676470588235
 gg15 gg16:4.52647058823529
 gg15 gg17:0.628676470588235
 gg15 gg18:3.58345588235294
 gg15 gg19:3.58345588235294
 gg15 gg20:4.46360294117647
 gg15 gg21:3.01764705882353
 gg15 gg22:1.69742647058824
 gg15 gg23:3.01764705882353
 gg15 gg24:1.44595588235294
 gg15 gg25:1.00588235294118
 gg15 gg26:1.25735294117647
 gg15 gg27:5.21801470588235
 gg16 gg1:1.06442307692308
 gg16 gg2:0.6075
 gg16 gg4:0.107257254175158
 gg16 gg5:0.375400389613053
 gg16 gg6:1.17982979592674
 gg16 gg7:0.482657643788211
 gg16 gg8:0.589914897963369
 gg16 gg9:0.160885881262737
 gg16 gg10:0.053628627087579
 gg16 gg11:0.375400389613053
 gg16 gg12:1.018943914664
 gg16 gg13:4.39754742118148
 gg16 gg14:4.6120619295318
 gg16 gg15:2.76617647058824
 gg16 gg16:8.20517994439959
 gg16 gg17:0.214514508350316
 gg16 gg18:0.858058033401264
 gg16 gg19:1.23345842301432
 gg16 gg20:0.589914897963369
 gg16 gg21:1.07257254175158
 gg16 gg22:0.160885881262737
 gg16 gg23:0.804429406313685
 gg16 gg24:0.321771762525474
 gg16 gg25:0.268143135437895
 gg16 gg26:2.14514508350316
 gg16 gg27:0.965315287576422
 gg17 gg1:0.425769230769231
 gg17 gg2:0.050625
 gg17 gg4:0
 gg17 gg5:0
 gg17 gg6:0.321771762525474
 gg17 gg7:0.053628627087579
 gg17 gg8:0.107257254175158
 gg17 gg9:0.107257254175158
 gg17 gg10:0.107257254175158
 gg17 gg11:0.107257254175158
 gg17 gg12:0.429029016700632
 gg17 gg13:0.321771762525474
 gg17 gg14:0.643543525050948
 gg17 gg15:0.502941176470588
 gg17 gg16:0.214514508350316
 gg17 gg17:0.268143135437895
 gg17 gg18:0.214514508350316
 gg17 gg19:0.214514508350316
 gg17 gg20:0.750800779226106
 gg17 gg21:0.053628627087579
 gg17 gg22:0.053628627087579
 gg17 gg23:0.107257254175158
 gg17 gg24:0.268143135437895
 gg17 gg25:0
 gg17 gg26:0.214514508350316
 gg17 gg27:0.268143135437895
 gg18 gg1:5.39307692307692
 gg18 gg2:3.2146875
 gg18 gg4:0.107257254175158
 gg18 gg5:0.589914897963369
 gg18 gg6:2.09151645641558
 gg18 gg7:0.858058033401264
 gg18 gg8:1.018943914664
 gg18 gg9:0.268143135437895
 gg18 gg10:0.321771762525474
 gg18 gg11:0.160885881262737
 gg18 gg12:1.76974469389011
 gg18 gg13:10.2430677737276
 gg18 gg14:11.7446693321798
 gg18 gg15:16.7227941176471
 gg18 gg16:2.68143135437895
 gg18 gg17:0.160885881262737
 gg18 gg18:3.16408899816716
 gg18 gg19:1.98425920224042
 gg18 gg20:1.34071567718948
 gg18 gg21:1.2870870501019
 gg18 gg22:0.589914897963369
 gg18 gg23:0.643543525050948
 gg18 gg24:0.214514508350316
 gg18 gg25:1.2870870501019
 gg18 gg26:1.87700194806527
 gg18 gg27:2.84231723564169
 gg19 gg1:2.05788461538462
 gg19 gg2:1.8984375
