t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      4  62290  .0081659
      4  62390  .0061380
      4  62400  .0014896
      4  62410  .0043724
      4  62630  .0069677
      4  62730  .0050323
      4  63010  .0004202
      4  63020  .0020864
      4  63030  .0017819
      4  63040  .0003902
      4  63080  .0008288
      4  63090  .0016159
      4  63100  .0009466
      4  63150  .0228000
      4  63170  .0003301
      4  63230  .0029635
      4  63250  .0054548
      4  63300  .0060382
      4  63320  .0071435
      4  63350  .0019147
      4  63360  .0006477
      4  63370  .0144424
      4  63420  .0005263
      4  63440  .0006072
      4  63470  .0045796
      4  63490  .0019936
      4  63520  .0121245
      4  63560  .0191576
      4  63570  .0014791
      4  63680  .0009443
      4  63690  .0111831
      4  63820  .0061875
      4  63830  .0010641
      4  63940  .0138664
      4  63950  .0021281
      4  64020  .0036000
      4  64030  .0036000
      4  64050  .0024000
      4  64100  .0008247
      4  64270  .0002963
      4  64280  .0008857
      4  64320  .0007845
      4  64340  .0019479
      4  64350  .0005926
      4  64360  .0014930
      4  65030  .0005158
      4  65040  .0139538
      4  65050  .0025291
      4  65060  .0015512
      4  65070  .0014423
      4  65080  .0010003
      4  65090  .0027776
      4  65150  .0001138
      4  65160  .0001588
      4  65200  .0006739
      4  65220  .0005581
      4  65230  .0007588
      4  65260  .0012263
      4  65320  .0006898
      4  65340  .0069561
      4  65360  .0006364
      4  65370  .0026635
      4  65380  .0023268
      4  65390  .0021901
      4  65430  .0011037
      4  65440  .0001398
      4  65470  .0059935
      4  65480  .0051047
      4  65490  .0005592
      4  65500  .0015558
      4  65540  .0001398
      4  65550  .0002098
      4  65640  .0066272
      4  65650  .0005728
      4  66020  .0001147
      4  66030  .0001659
      4  66040  .0003758
      4  66080  .0005436
      4  67060  .0090156
      4  67120  .0079733
      4  67130  .0230266
      4  67150  .0083867
      4  67160  .0051443
      4  67180  .0004535
      4  68110  .0144000
      4  68230  .0000557
      4  68240  .0035931
      4  68250  .0009165
      4  68310  .0015134
      4  68320  .0003889
      4  68330  .0004444
      4  68340  .0036000
      4  68380  .0048399
      4  68390  .0021483
      4  68400  .0005000
      4  68520  .1212000
      4  68570  .4080000
      4  68720  .9936000
      4  68730  .0156000
      4  68750  .1476000
      4  68760  .2784000
      4  68800  .0300000
      4  68840  .1824000
      4  71070  .0096000
      4  71120  .0216000
      4  72030  .0016744
      4  72050  .0079256
      4  72060  .0180000
      4  81010  .0634653
      4  81020  .0414598
      4  81040  .0750872
      4  81050  .0379911
      4  81080  .0640082
      4  81090  .0898422
      4  81100  .0218799
      4  81120  .0027422
      4  81150  .0361353
      4  81190  .0268200
      4  81200  .0109687
      4  81270  .0277685
      4  81310  .0610640
      4  81320  .0284429
      4  81380  .1414315
      4  81490  .1224000
      4  81500  .2044932
      4  81590  .1176751
      4  81600  .0147274
      4  81610  .0541755
      4  81640  .0167249
      4  81650  .0258971
      4  82190  .0280172
      4  82250  .1159828
      4  83010  .0709311
      4  83020  .0034689
      5      2    3.8136
      5      5    4.6176
      5      8    2.9592
      5     10      1.23
      5     11    1.8096
      5  12020  .1440000
      5  21010  .0715917
      5  21030  .3721278
      5  21050  .1727923
      5  21080  .0950358
      5  21100  .2905376
      5  21150  .1487148
      5  21160  .3374622
      5  22010  .7704000
      5  22390  1.384812
      5  22400  .7772982
      5  22530  .9362896
      5  23370   7.59377
      5  23440  .4069380
      5  23450  .2675680
      5  23460  .5902939
      5  23500  3.130629
      5  24140  .0776213
      5  24150  .2330172
      5  24160  .3362078
      5  24260  .2623241
      5  24270  .1122543
      5  24280  .1537194
      5  24300  .2660914
      5  24320  2.277579
      5  24340  .1985155
      5  24350  .3252065
