_mos:,md5,md6,md7,md8,md9,md10,md11,md21,md22,md23
_names:,cnsman,fire,tcuws,rtail,busoth,acfdnf,hledpa,p5-12,p13-17,Psfte
ZONE,Contruction/Mfg - 2011 Base Emp,FIRE - 2011 Base Emp,TCU/Wholesale - 2011 Base Emp,Retail - 2011 Base Emp,Business/OtherServices - 2011 Base Emp,AccomFood/InfoCult - 2011 Base Emp,Health/Educat/PubAdmin - 2011 Base Emp,POP5-12,POP13-17,PostSec 2011 FT Enrl
5010,103,17,22,0,74,63,75,280,206,0
5020,2,1,0,0,5,2,3,1,0,0
5030,62,0,125,3,0,63,18,4,4,0
5040,73,139,160,29,137,9,59,446,301,0
5050,107,0,0,10,0,13,126,588,330,0
5060,112,116,0,171,255,344,1556,753,523,0
5070,297,22,44,27,351,46,318,919,662,0
5080,757,245,454,583,1101,581,597,560,443,0
5100,111,0,52,165,142,146,84,181,138,0
5110,159,35,0,143,97,96,428,350,260,0
5120,0,100,0,48,150,216,268,577,386,928
5130,0,0,0,4,33,208,76,29,23,0
5140,95,377,67,134,197,135,407,401,252,0
5150,87,107,123,113,198,319,243,160,105,0
5160,134,14,44,48,178,37,468,540,400,0
5170,84,237,168,265,334,356,288,211,171,56
5180,257,105,262,1234,683,547,587,711,488,0
5190,275,97,144,109,149,66,26,2,1,0
5200,2024,219,1797,709,789,1016,77,0,0,0
5210,1227,123,2118,180,808,70,92,1,1,0
5220,72,0,0,80,54,14,383,405,323,0
5230,189,161,20,136,164,167,815,478,335,0
5240,0,29,41,42,48,4,199,113,82,0
5250,920,110,211,160,340,222,286,578,394,0
5260,77,63,48,416,44,92,39,542,433,0
5270,159,0,64,7,95,9,146,549,407,0
5280,7,0,49,39,147,33,36,246,144,0
5290,0,81,0,17,141,36,1985,291,262,0
5300,234,0,0,5,0,5,0,54,30,0
5310,141,0,0,3,14,36,0,165,99,0
5320,114,78,77,107,81,18,502,666,533,0
5330,0,0,0,16,266,18,340,468,450,0
5340,330,285,176,380,566,807,516,416,284,0
5350,214,37,59,25,67,407,312,1242,1004,0
5360,0,60,0,14,0,13,49,225,193,0
5370,0,26,41,16,124,146,823,341,250,2895
5380,27,315,52,2213,836,687,972,205,138,0
5390,115,340,103,1290,499,741,555,242,178,0
5400,164,0,0,10,165,35,115,639,509,0
5410,0,0,0,64,0,14,61,279,169,0
5420,0,0,0,97,0,133,0,250,163,0
5430,0,0,0,39,0,13,39,32,29,0
5440,0,0,0,49,0,12,61,44,41,0
5450,0,0,0,28,0,16,33,15,10,0
5460,9,0,0,10,0,1,6,22,11,0
5500,31,318,51,515,228,184,164,225,192,0
5510,124,41,26,245,236,120,162,89,52,0
5520,14,0,0,86,140,77,247,282,201,15
5530,1283,290,243,223,439,318,1326,555,443,0
5540,2331,85,2591,149,731,121,322,11,7,2202
5550,0,0,0,9,13,16,82,257,158,0
5560,0,0,0,22,31,35,186,428,294,0
5570,1388,14,297,59,356,141,240,378,273,0
5580,1,0,4,0,4,0,3,0,0,0
5590,48,27,215,6,255,6,191,684,569,0
5600,31,86,32,133,36,38,282,406,288,0
5610,55,41,523,93,55,176,143,429,358,0
5620,0,0,71,16,117,16,0,288,260,0
5630,0,40,14,33,127,109,240,317,283,0
5640,352,149,137,986,259,541,553,923,617,0
5650,77,0,0,13,0,73,0,206,134,0
5700,210,13,27,57,70,134,54,31,18,0
5710,350,111,315,109,288,301,408,617,413,18
5720,497,0,116,44,20,99,0,63,33,0
5730,367,145,88,561,284,219,441,1074,741,0
5740,120,0,23,2,0,298,12,18,18,0
5800,306,42,0,24,154,122,589,1017,767,0
5810,2022,334,470,1058,766,867,342,542,368,1520
5820,179,122,152,312,225,160,1370,507,425,0
5830,0,41,49,144,22,47,688,546,420,0
5840,51,221,78,332,318,283,378,746,629,0
5850,11,327,15,233,555,454,639,239,179,0
5860,245,254,366,791,514,770,1403,484,318,41
5870,82,0,57,16,0,14,0,58,40,0
5880,49,0,0,22,0,56,56,122,128,0
5890,337,0,31,102,126,44,1137,815,640,0
5900,135,0,19,2,11,2,25,143,120,201
5910,235,58,0,11,91,31,251,1288,768,0
5920,670,0,265,119,351,67,40,881,636,0
5930,61,0,0,6,73,54,41,154,130,0
5940,67,48,78,272,107,53,43,106,85,0
5950,122,0,0,5,30,5,16,68,66,0
5960,722,0,33,11,20,26,14,42,35,0
6000,743,469,13371,380,1815,1495,724,2,2,0
6010,8,30,1052,3,12,8,137,0,0,0
6020,53,0,655,10,169,289,25,79,59,0
6030,18,0,122,1,39,69,8,1,1,714
6040,79,37,99,276,307,360,247,759,553,0
6050,0,85,26,103,64,73,102,442,337,0
6060,126,88,34,306,147,79,291,553,419,0
6070,48,63,35,25,91,100,165,452,359,0
6080,81,43,0,51,30,49,419,551,448,0
6090,121,199,216,279,229,708,149,385,306,0
6100,0,20,0,5,134,119,417,438,338,0
6110,73,130,106,4,127,43,608,360,302,0
6120,32,264,46,35,54,23,228,490,441,0
6130,38,93,50,280,80,195,332,387,308,0
6140,42,15,33,45,157,15,253,462,457,0
6150,0,0,48,40,95,194,279,423,386,0
6160,766,44,271,27,297,205,249,519,363,0
6170,2524,169,1645,1333,1004,588,148,5,4,0
6180,680,1808,759,105,550,140,679,322,217,0
6190,356,233,707,638,669,212,61,51,35,91
6200,502,411,119,555,618,788,566,95,66,25
6210,34,678,201,2006,587,820,3265,56,78,31
6220,0,26,39,20,84,57,933,475,345,0
6230,21,296,113,65,155,361,198,707,519,0
6240,19,53,24,114,44,71,379,360,281,0
6250,49,190,24,132,61,128,106,225,238,0
6260,100,169,32,153,96,143,169,389,363,0
6270,52,0,111,61,95,50,265,670,582,0
6280,72,55,51,11,189,47,618,726,565,0
6290,437,316,288,1316,1143,2564,201,292,223,0
6300,236,597,262,1999,1670,2543,691,297,191,4350
6310,355,95,227,25,103,16,47,388,274,0
6320,45,502,87,273,575,653,225,10,10,22
6330,0,33,0,8,113,40,0,220,127,0
6340,33,589,76,291,835,377,377,260,185,1602
6350,22,27,0,7,46,32,117,263,149,0
6360,76,40,39,22,151,69,426,707,501,0
6370,16,18,0,15,41,15,53,71,48,0
6380,127,0,37,56,106,111,189,549,392,0
6390,1129,60,293,20,170,10,0,0,0,0
6400,1331,44,1307,223,425,107,9,261,162,0
6410,691,287,528,348,1539,1467,302,401,220,0
6420,156,82,107,136,163,300,238,475,425,0
6430,4601,172,3496,1603,1664,449,169,304,185,767
6440,1944,250,2114,1226,3462,1139,231,0,0,0
6450,191,0,280,27,64,48,104,40,59,0
6460,1286,29,1244,125,372,245,38,44,39,0
6470,1720,48,1854,904,905,754,218,18,25,0
6480,649,50,577,114,319,20,263,602,309,0
6700,191,147,84,107,434,197,542,491,394,0
6710,45,64,0,222,142,425,357,862,672,0
6720,90,76,25,167,214,276,1913,566,449,0
6730,180,8,11,2,34,5,44,0,0,0
6740,825,19,37,7,100,13,85,47,37,0
6750,24,42,30,18,48,24,60,85,72,0
6760,117,6,92,6,59,1,4,23,17,0
6770,375,19,391,42,130,133,107,262,197,0
6780,5976,146,4017,200,1573,278,147,9,7,0
6790,5734,143,6153,304,1362,276,179,0,0,546
6800,1321,0,543,40,90,49,319,53,36,0
6810,279,0,176,4,53,45,150,19,23,112
6900,2,6,86,27,8,8,65,0,0,0
6910,24,183,92,337,380,368,314,307,237,0
