VARIABLE,GROUP,Contruction/Mfg,FIRE,TCU/Wholesale,Retail,AccomFood/InfoCult,Health/Educat/PubAdmin,POP 5 to 17,Total_Population,Households_Low,Household_Medium,Households_high,PS2011,Business/OtherServices
HBSCHO,14,0,0,0,0,0,0.12671806,1.550143848,0,0,0,0,0,0
HBSHOP,1,0,0,0,2.872201176,0,0,0,0.034064938,0,0,0,0,0
HBSHOP,2,0,0,0,3.701445572,0,0,0,0.06075568,0,0,0,0,0
HBSHOP,3,0,0,0,3.232496068,0,0,0,0.038338114,0,0,0,0,0
HBSHOP,4,0,0,0,3.64719401,0,0,0,0.043256523,0,0,0,0,0
HBSHOP,5,0,0,0,4.051321325,0,0,0,0.048049562,0,0,0,0,0
HBSHOP,6,0,0,0,3.218452009,0,0,0,0.038171549,0,0,0,0,0
HBSHOP,7,0,0,0,2.833615558,0,0,0,0.033607304,0,0,0,0,0
HBSHOP,8,0,0,0,3.444712758,0,0,0,0.056541657,0,0,0,0,0
HBSHOP,9,0,0,0,3.608860082,0,0,0,0.042801874,0,0,0,0,0
HBSHOP,10,0,0,0,3.409413368,0,0,0,0.055962252,0,0,0,0,0
HBSHOP,11,0,0,0,3.022740488,0,0,0,0.035850367,0,0,0,0,0
HBSHOP,12,0,0,0,3.466027058,0,0,0,0.056891511,0,0,0,0,0
HBSHOP,13,0,0,0,2.854233316,0,0,0,0.033851835,0,0,0,0,0
HBSHOP,14,0,0,0,3.551014585,0,0,0,0.0582865,0,0,0,0,0
HBPB,1,0,0.056031255,0,0.599011454,0.182823665,0.427125035,0,0.035436908,0,0,0,0,0.056031255
HBPB,2,0,0,0,0.53666783,0.666307655,0.944587727,0,0.033733418,0,0,0,0,0
HBPB,3,0,0.060829081,0,0.650303412,0.198478431,0.463698758,0,0.038471288,0,0,0,0,0.060829081
HBPB,4,0,0.072133605,0,0.771156297,0.235363815,0.549872891,0,0.045620821,0,0,0,0,0.072133605
HBPB,5,0,0.065224038,0,0.697288428,0.212818679,0.497201417,0,0.041250873,0,0,0,0,0.065224038
HBPB,6,0,0.063501732,0,0.678875833,0.20719899,0.484072319,0,0.040161603,0,0,0,0,0.063501732
HBPB,7,0,0.060377771,0,0.645478602,0.197005856,0.460258429,0,0.038185857,0,0,0,0,0.060377771
HBPB,8,0,0,0,0.481990165,0.598421814,0.848349703,0,0.030296535,0,0,0,0,0
HBPB,9,0,0.067350572,0,0.72002249,0.219757318,0.513411937,0,0.042595797,0,0,0,0,0.067350572
HBPB,10,0,0,0,0.507855539,0.630535342,0.893875285,0,0.031922359,0,0,0,0,0
HBPB,11,0,0.088569106,0,0.946862756,0.288991001,0.675160358,0,0.056015436,0,0,0,0,0.088569106
HBPB,12,0,0,0,0.562267494,0.698091286,0.989645633,0,0.03534254,0,0,0,0,0
HBPB,13,0,0.081083205,0,0.866833487,0.264565351,0.618095498,0,0.051280986,0,0,0,0,0.081083205
HBPB,14,0,0,0,0.547720621,0.680030407,0.964041718,0,0.034428165,0,0,0,0,0
