matrices:,md5,md6,md7,md8,md9,md10,md11,md20,md21,md22,md23,md24,md25,md31,md32,md33,md34,md35,md36,md37,md38,md39,md40,md41,md42,md43,md44,md45,md46,md47,md48,md49,md50,md51,md52,mo915,mo916,mo917,mo918,mo919,mo920,mo921,mo922,mo923,mo924,mo925,mo926
name:,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,PpTt11,Pp2_11,Pp3_11,PSEn11,HhLwIn,HhMdIn,aWkL,aWkM,aWkH,aNw,aUv,aSc,aSh,aPB,aSo,aEc,aNo,aWkLf,aWkMf,aWkHf,aNwf,aUvnf,aScf,aShf,aPBf,aSof,aEcf,aNof,p2-10f,p2-20f,p2-30f,p2-11f,p2-21f,p2-31f,p2-12f,p2-22f,p2-32f,p2-13f,p2-23f,p2-33f
description,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_population,2011_Pop 5to12,2011_Pop_13to17,PostSec 2011 FT Enrl,Household Low Income,Household Medium Income,AttracWkL,AttracWkM,AttracWkH,AttracNw,AttracUv,AttracSc,AttracSh,AttracPB,AttracSo,AttracEc,AttracNo,FactoredAttracWkL,FactoredAttracWkM,FactoredAttracWkH,FactoredAttracNw,NOTFactoredAttracUv,FactoredAttracSc,FactoredAttracSh,FactoredAttracPB,FactoredAttracSo,FactoredAttracEc,FactoredAttracNo,FactoredProducUvLA0,FactoredProducUvMA0,FactoredProducUvHA0,FactoredProducUvLA1,FactoredProducUvMA1,FactoredProducUvHA1,FactoredProducUvLA2,FactoredProducUvMA2,FactoredProducUvHA2,FactoredProducUvLA3+,FactoredProducUvMA3+,FactoredProducUvHA3+
8130,175.0,113.0,81.0,171.0,127.0,156.0,56.0,708.0,34.0,53.0,0.0,44.49995422363281,83.02877807617188,127.50096130371094,356.0592041015625,291.2667236328125,267.4795837402344,0.0,150.10943603515625,622.6309814453125,257.8648681640625,634.8561401367188,333.6483154296875,675.860595703125,127.90398406982422,357.1815185546875,292.6487731933594,269.24871826171875,0.0,150.0861358642578,629.1904296875,260.88421630859375,641.211669921875,333.71136474609375,680.4280395507812,0.28117138147354126,0.18616048991680145,0.07573642581701279,2.004884719848633,3.11018443107605,2.6325738430023193,1.8175863027572632,6.681567668914795,9.35248851776123,0.5149966478347778,2.3134868144989014,4.563570976257324
8140,99.0,0.0,0.0,8.0,77.0,49.0,36.0,1736.0,146.0,138.0,0.0,118.78924560546875,221.4014892578125,46.15029525756836,130.50718688964844,85.30928039550781,123.036376953125,0.0,470.3415222167969,124.42578125,122.5558090209961,526.4598388671875,433.65789794921875,288.46612548828125,46.296173095703125,130.91854858398438,85.71407318115234,123.85015106201172,0.0,470.2685241699219,125.73661041259766,123.99081420898438,531.730224609375,433.7398376464844,290.4155578613281,0.7903549671173096,0.5329565405845642,0.21903519332408905,5.553730010986328,8.778241157531738,7.510615348815918,4.655153751373291,17.433862686157227,24.634584426879883,1.3119131326675415,6.002757549285889,11.946844100952148
8150,176.0,0.0,0.0,6.0,0.0,11.0,38.0,777.0,52.0,56.0,0.0,49.06279373168945,91.43190002441406,42.56429672241211,99.74311828613281,54.45655059814453,51.534202575683594,0.0,182.11964416503906,63.93914794921875,68.75395965576172,196.46212768554688,184.11141967773438,162.23159790039062,42.6988410949707,100.05751037597656,54.71494674682617,51.87505340576172,0.0,182.0913848876953,64.61274719238281,69.55899810791016,198.4289093017578,184.14620971679688,163.3279571533203,0.3071986734867096,0.20297537744045258,0.0824396014213562,2.1944680213928223,3.3972601890563965,2.871056318283081,2.0043423175811768,7.352625846862793,10.27825927734375,0.5706344246864319,2.5579001903533936,5.0394206047058105
8160,1768.0,33.0,611.0,4.0,996.0,120.0,100.0,644.0,65.0,40.0,0.0,39.622711181640625,73.55120849609375,506.21826171875,1971.5078125,1655.474853515625,692.3846435546875,0.0,185.5098114013672,49.677345275878906,187.6411895751953,950.6989135742188,290.924072265625,212.16412353515625,507.8183898925781,1977.7220458984375,1663.330078125,696.964111328125,0.0,185.48101806640625,50.2006950378418,189.83827209472656,960.21630859375,290.9790344238281,213.59793090820312,0.2499656081199646,0.16551658511161804,0.0673619955778122,1.7753406763076782,2.756861925125122,2.335293769836426,1.5855321884155273,5.836313247680664,8.174890518188477,0.4543788731098175,2.0435445308685303,4.033128261566162
8170,90.0,17.0,57.0,31.0,97.0,120.0,41.0,1210.0,80.0,49.0,0.0,75.70948028564453,141.2820587158203,64.81816101074219,193.83645629882812,164.61160278320312,149.3870849609375,0.0,216.94371032714844,173.4061279296875,166.68270874023438,621.1167602539062,283.8959655761719,297.0272216796875,65.0230484008789,194.4474334716797,165.39268493652344,150.37513732910156,0.0,216.9100341796875,175.2329559326172,168.6343994140625,627.334716796875,283.9496154785156,299.0345153808594,0.47137922048568726,0.31044507026672363,0.1259843111038208,3.3746609687805176,5.2064208984375,4.395569801330566,3.130985736846924,11.447760581970215,15.98845386505127,0.8860419392585754,3.9590442180633545,7.793430328369141
8180,160.0,0.0,407.0,46.0,103.0,217.0,545.0,850.0,61.0,50.0,0.0,53.090576171875,91.05842590332031,219.79771423339844,810.5487670898438,748.7619018554688,465.5627746582031,0.0,254.97189331054688,204.4009246826172,674.4835815429688,956.2235717773438,766.900146484375,890.01806640625,220.4924774169922,813.1036376953125,752.3147583007812,468.6420593261719,0.0,254.93231201171875,206.55429077148438,682.381103515625,965.7962646484375,767.0450439453125,896.0327758789062,0.4333548843860626,0.2747681438922882,0.11431971192359924,2.736431837081909,3.9717798233032227,3.4646718502044678,1.868015170097351,6.590738296508789,9.472418785095215,0.5374341607093811,2.551384210586548,5.1280837059021
8200,28.0,0.0,45.0,12.0,80.0,30.0,12.0,2192.0,201.0,120.0,0.0,215.14926147460938,334.5549011230469,26.071971893310547,111.74382019042969,105.28665924072266,150.65057373046875,0.0,527.7741088867188,163.58221435546875,105.71064758300781,561.873291015625,452.98089599609375,330.6145324707031,26.15438461303711,112.09603881835938,105.78624725341797,151.64698791503906,0.0,527.6921997070312,165.30555725097656,106.94841003417969,567.4981689453125,453.0664978027344,332.84881591796875,1.0869380235671997,0.6974390745162964,0.27584490180015564,6.149775505065918,9.784706115722656,8.116194725036621,4.163549423217773,15.96446704864502,22.062767028808594,0.9823517799377441,4.801539421081543,9.397173881530762
8210,267.0,480.0,118.0,395.0,468.0,717.0,369.0,7060.0,200.0,192.0,8.0,1216.2774658203125,1528.131103515625,442.5472106933594,1238.49658203125,932.2056884765625,1080.5416259765625,64.89427947998047,691.9893188476562,1741.811767578125,1207.90869140625,3660.047119140625,1419.422119140625,2536.351318359375,443.9460754394531,1242.400390625,936.6290283203125,1087.6884765625,64.89427947998047,691.8818969726562,1760.1617431640625,1222.0521240234375,3696.687744140625,1419.6903076171875,2553.491943359375,6.4445953369140625,3.8847665786743164,1.5633623600006104,23.48870849609375,35.102787017822266,30.90137481689453,6.959764003753662,25.681537628173828,38.424293518066406,1.2324577569961548,6.712001323699951,14.271997451782227
8220,417.0,200.0,134.0,204.0,668.0,334.0,2387.0,10248.0,562.0,439.0,0.0,1454.96826171875,1909.919921875,890.4227294921875,2830.880615234375,1863.970703125,1926.220458984375,0.0,1960.629150390625,1269.021484375,2775.022216796875,3957.4951171875,3714.3974609375,4739.39453125,893.2373046875,2839.803466796875,1872.8153076171875,1938.960693359375,0.0,1960.3248291015625,1282.390625,2807.514892578125,3997.113525390625,3715.099365234375,4771.42333984375,8.76146411895752,5.456526279449463,2.248417377471924,35.51817321777344,54.38950729370117,48.49327087402344,12.08382797241211,45.831321716308594,68.7155532836914,2.3413827419281006,12.824420928955078,27.21438217163086
8300,116.0,303.0,58.0,795.0,349.0,252.0,34.0,5.0,0.0,0.0,0.0,0.447701632976532,0.7563217878341675,226.96762084960938,1039.6910400390625,632.0567626953125,1123.908203125,4.134029388427734,4.216404914855957,2755.77587890625,656.7462768554688,928.836181640625,483.2879333496094,2309.283447265625,227.68505859375,1042.9681396484375,635.0558471679688,1131.341796875,4.134029388427734,4.215750694274902,2784.807861328125,664.4360961914062,938.1347045898438,483.3792419433594,2324.889404296875,0.017682261765003204,0.007930620573461056,0.0014669762458652258,0.0747455582022667,0.0931340754032135,0.03850356489419937,0.013910298235714436,0.04819543659687042,0.04997783899307251,0.009712488390505314,0.04606182500720024,0.07154122740030289
