t groups
a     gn: 'PNR lots' /2016-05-20 15:04:17
a   gn00:  26470
a   gn00:  26480
a   gn00:  26490
a   gn00:  26500
a   gn00:  26510
a   gn00:  26520
a   gn00:  26530
a   gn00:  26540
a   gn00:  26550
a   gn00:  26560
a   gn00:  26570
a   gn00:  26580
a   gn00:  26590
a   gn00:  26600
a   gn00:  27010
a   gn00:  27020
a   gn00:  27030
a   gn00:  27040
a   gn00:  27050
a   gn00:  27060
a   gn00:  27070
a   gn00:  27080
a   gn00:  27090
a   gn00:  27100
a   gn00:  27110
a   gn00:  27120
a   gn00:  27130
a   gn00:  27140
a   gn00:  27150
a   gn00:  27160
a   gn00:  27170
a   gn00:  27180
a   gn00:  27190
a   gn00:  27200
a   gn00:  27210
a   gn00:  27220
a   gn00:  27230
a   gn00:  27240
a   gn00:  27250
a   gn00:  27260
a   gn00:  27270
a   gn00:  27280
a   gn00:  27290
a   gn00:  27300
a   gn00:  27310
a   gn00:  27320
a   gn00:  27330
a   gn00:  27340
a   gn00:  27350
a   gn00:  27360
a   gn00:  27370
a   gn00:  27380
a   gn00:  27390
a   gn00:  27400
a   gn00:  27410
a   gn00:  27420
a   gn00:  27430
a   gn00:  27440
a   gn00:  27450
a   gn00:  27460
a   gn00:  27470
a   gn00:  27480
a   gn00:  27490
a   gn00:  27500
a   gn00:  27510
a   gn00:  27520
a   gn00:  27530
a   gn00:  27540
a   gn00:  27550
a   gn00:  27560
a   gn00:  27570
a   gn00:  27580
a   gn00:  27590
a   gn00:  27600
a   gn00:  27610
a   gn00:  27620
a   gn00:  27630
a   gn00:  27640
a   gn00:  27650
a   gn00:  27660
a   gn00:  28010
a   gn00:  28020
a   gn00:  28030
a   gn00:  28040
a   gn00:  28050
a   gn00:  28060
a   gn00:  28070
a   gn00:  28080
a   gn00:  28090
a   gn00:  28100
a   gn00:  28110
a   gn00:  28120
a   gn00:  28130
a   gn00:  28140
a   gn00:  28150
a   gn00:  28160
a   gn00:  28170
a   gn00:  28180
a   gn00:  28190
a   gn00:  28200
a   gn00:  28210
a   gn00:  28220
a   gn00:  28230
a   gn00:  28240
a   gn00:  28250
a   gn00:  28260
a   gn00:  28270
a   gn00:  28280
a   gn00:  28290
a   gn00:  28300
a   gn00:  28310
a   gn00:  28320
a   gn00:  28330
a   gn00:  28340
a   gn00:  28350
a   gn00:  28360
a   gn00:  28370
a   gn00:  28380
a   gn00:  28390
a   gn00:  28400
a   gn00:  28410
a   gn00:  28420
a   gn00:  28430
a   gn00:  28440
a   gn00:  28450
a   gn00:  28460
a   gn00:  28470
a   gn00:  28480
a   gn00:  28490
a   gn00:  28500
a   gn00:  28510
a   gn00:  28520
a   gn00:  28530
a   gn00:  28540
a   gn00:  28550
a   gn00:  28560
a   gn00:  28570
a   gn00:  28580
a   gn00:  28590
a   gn00:  28600
a   gn00:  28610
a   gn00:  28620
a   gn00:  28630
a   gn00:  28640
a   gn00:  28650
a   gn00:  28660
a   gn00:  28670
a   gn00:  28680
a   gn00:  28690
a   gn00:  28700
a   gn00:  28710
a   gn00:  28720
a   gn00:  28730
a   gn00:  28740
a   gn00:  28750
a   gn00:  29010
a   gn00:  29020
a   gn00:  29030
a   gn00:  29040
a   gn00:  29050
a   gn00:  29060
a   gn00:  29070
a   gn00:  29080
a   gn00:  29090
a   gn00:  29100
a   gn00:  29110
a   gn00:  29120
a   gn00:  29130
a   gn00:  29140
a   gn00:  29150
a   gn00:  29160
a   gn00:  29170
a   gn00:  29180
a   gn00:  29190
a   gn00:  29200
a   gn00:  29210
a   gn00:  29220
a   gn00:  29230
a   gn00:  29240
a   gn00:  29250
a   gn00:  29260
a   gn00:  29270
a   gn00:  29280
a   gn00:  29290
a   gn00:  29300
a   gn00:  29310
a   gn00:  29320
a   gn00:  29330
a   gn00:  29340
a   gn00:  29350
a   gn00:  29360
a   gn00:  29370
a   gn00:  29380
a   gn00:  29390
a   gn00:  29400
a   gn00:  29410
a   gn00:  29420
a   gn00:  29430
a   gn00:  29440
a   gn00:  29450
a   gn00:  31010
a   gn00:  31020
a   gn00:  31030
a   gn00:  31040
a   gn00:  31050
a   gn00:  31060
a   gn00:  31070
a   gn00:  31080
a   gn00:  31090
a   gn00:  31100
a   gn00:  31110
a   gn00:  31120
a   gn00:  31130
a   gn00:  31140
a   gn00:  31150
a   gn00:  31160
a   gn00:  31170
a   gn00:  31180
a   gn00:  31190
a   gn00:  31200
a   gn00:  31210
a   gn00:  31220
a   gn00:  31230
a   gn00:  31240
a   gn00:  31250
a   gn00:  32010
a   gn00:  32020
a   gn00:  32030
a   gn00:  32040
a   gn00:  32050
a   gn00:  32060
a   gn00:  32070
a   gn00:  32080
a   gn00:  32090
a   gn00:  32100
a   gn00:  32110
a   gn00:  32120
a   gn00:  32130
a   gn00:  32140
a   gn00:  32150
a   gn00:  32160
a   gn00:  32170
a   gn00:  32180
a   gn00:  32190
a   gn00:  32200
a   gn00:  32210
a   gn00:  32220
a   gn00:  32230
a   gn00:  32240
a   gn00:  32250
a   gn00:  32260
a   gn00:  32270
a   gn00:  32280
a   gn00:  32290
a   gn00:  32300
a   gn00:  32310
a   gn00:  32320
a   gn00:  32330
a   gn00:  32340
a   gn00:  32350
a   gn00:  32360
a   gn00:  32370
a   gn00:  32380
a   gn00:  32390
a   gn00:  32400
a   gn00:  32410
a   gn00:  32420
a   gn00:  32430
a   gn00:  32440
a   gn00:  32450
a   gn00:  32460
a   gn00:  32470
a   gn00:  32480
a   gn00:  32490
a   gn00:  32500
a   gn00:  32510
a   gn00:  32520
a   gn00:  32530
a   gn00:  32540
a   gn00:  32550
a   gn00:  32560
a   gn00:  32570
a   gn00:  32580
a   gn00:  32590
a   gn00:  32600
a   gn00:  32610
a   gn00:  32620
a   gn00:  32630
a   gn00:  32640
a   gn00:  33010
a   gn00:  33020
a   gn00:  33030
a   gn00:  33040
a   gn00:  33050
a   gn00:  33060
a   gn00:  33070
a   gn00:  33080
a   gn00:  33090
a   gn00:  33100
a   gn00:  33110
a   gn00:  33120
a   gn00:  33130
a   gn00:  33140
a   gn00:  33150
a   gn00:  33160
a   gn00:  33170
a   gn00:  33180
a   gn00:  33190
a   gn00:  33200
a   gn00:  33210
a   gn00:  33220
a   gn00:  33230
a   gn00:  33240
a   gn00:  33250
a   gn00:  33260
a   gn00:  33270
a   gn00:  33280
a   gn00:  33290
a   gn00:  33300
a   gn00:  33310
a   gn00:  34010
a   gn00:  34020
a   gn00:  34030
a   gn00:  34040
a   gn00:  34050
a   gn00:  34060
a   gn00:  34070
a   gn00:  34080
a   gn00:  34090
a   gn00:  34100
a   gn00:  34110
a   gn00:  34120
a   gn00:  34130
a   gn00:  34140
a   gn00:  34150
a   gn00:  34160
a   gn00:  34170
a   gn00:  34180
a   gn00:  34190
a   gn00:  34200
a   gn00:  34210
a   gn00:  34220
a   gn00:  34230
a   gn00:  34240
a   gn00:  34250
a   gn00:  34260
a   gn00:  34270
a   gn00:  34280
a   gn00:  34290
a   gn00:  35010
