mat_id,  mo23, md21, md22, mo24, mo25, mo26, mo19, mo20,mo01, mo50, mo51, mo52, mo53, md05, md06, md07, md08,md09, md10, md11, md12, md23
mat_name, Pp1_11, Pp2_11, Pp3_11, Pp4_11, Pp5_11, Pp6_11, Pp10_11, PpTt11, HtTt11, P1Hh11, P2Hh11, P3Hh11, P4Hh11, Con11, FIRE11, TCWh11, Ret11, Bus11, AcIn11, HeEd11, Emp11, PSEn11
mat_desc, 2011_Pop_0to4, 2011_Pop 5to12, 2011_Pop_13to17, 2011_Pop_18to24, 2011_Pop_25to44, 2011_Pop_45to64, 2011_Pop_65plus, 2011_total_population, 2011_total_hhs, 2011_1p_hhs, 2011_2p_hhs, 2011_3p_hhs, 2011_4p_hhs, 2011_Const_Mfg, 2011_FIRE, 2011_TCU_WhSale, 2011_Retail, 2011_Business_OthServ, 2011_Accom_Fd_Info, 2011_Health_Ed_PubAd, 2011_total_emp, PostSec 2011 FT Enrl
12110, 80.02359, 182.5223, 130.9854, 128.3492, 0, 0, 366.4764, 1940.423, 760.1881, 201.0691, 253.8125, 117.6203, 187.6863, 4.101867, 13.22278, 3.896543, 2.343681, 111.5661, 66.15928, 321.7183, 523.0085, 1
12120, 94.03638, 168.987, 128.2684, 178.2468, 0, 0, 277.9853, 1757.012, 595.7889, 84.30163, 212.5869, 68.61823, 230.2822, 126.444, 112.8752, 3.695835, 2.22296, 74.69605, 27.88954, 125.6487, 473.4722, 0
12130, 55.76927, 86.34299, 42.59972, 62.61354, 0, 0, 198.6454, 957.4829, 335.0002, 49.04271, 126.5063, 51.99831, 107.4529, 23.62164, 6.677857, 11.0954, 10.05727, 21.78322, 14.27015, 20.61826, 108.1238, 0
12140, 106.7829, 112.312, 75.36065, 94.77297, 0, 0, 122.8465, 1288.496, 520.5212, 160.4592, 158.5174, 69.39268, 132.152, 81.68678, 78.99767, 3.879892, 338.3815, 156.832, 117.1139, 307.781, 1084.673, 0
12150, 120.5891, 265.1964, 167.4778, 268.539, 0, 0, 357.0105, 2556.565, 872.2512, 138.5589, 250.0732, 205.1664, 278.4526, 139.2014, 17.94919, 3.526226, 37.11651, 53.45108, 46.56686, 51.37818, 349.1894, 0
12160, 41.59019, 73.78099, 86.04087, 148.5729, 0, 0, 183.4123, 1120.416, 311.3226, 91.15772, 109.0135, 20.52308, 90.62836, 3.863289, 2.49074, 3.669906, 2.207364, 55.62901, 2.769388, 350.5364, 421.1661, 0
12170, 2.396375, 2.31882, 2.288108, 73.37645, 0, 0, 42.67842, 366.7106, 177.5671, 47.52904, 79.23466, 46.91801, 3.885405, 4.340928, 27.98684, 4.123637, 316.2348, 20.83558, 202.2659, 120.1653, 695.9529, 0
12180, 144.1879, 253.2055, 101.9804, 218.0246, 0, 0, 407.607, 2373.288, 814.0829, 141.6191, 243.5389, 141.5244, 287.4006, 5.90155, 3.804848, 5.60614, 84.2991, 226.61, 4.23051, 81.68316, 412.1353, 0
12190, 132.1209, 281.2589, 257.3496, 248.1247, 0, 0, 596.994, 3183.023, 1315.989, 452.275, 359.4957, 188.1635, 316.055, 18.83039, 9.105247, 1.788781, 1.07591, 12.05094, 1.349851, 86.87691, 131.078, 0
12200, 77.60477, 130.1615, 83.97845, 168.9771, 0, 0, 484.3959, 2378.458, 1295.53, 640.0867, 397.11, 149.9609, 108.372, 6.33922, 61.30534, 6.021901, 3.622035, 20.28465, 68.16379, 48.74496, 214.4819, 0
