PurposeNumber,Purpose,"(HH size, income, cars)",HHSize,Income,Cars,GY1,GY2,GY3,GY4,GY5,GY6,GY7,GY8,GY9,GY10,GY11,GY12,GY13,GY14
2,NHBWL,20101,2,1,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,30101,3,1,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,40101,4,1,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,10201,1,2,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,20201,2,2,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,30201,3,2,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,40201,4,2,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,10301,1,3,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,20301,2,3,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,30301,3,3,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,40301,4,3,1,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,10102,1,1,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,20102,2,1,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,30102,3,1,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,40102,4,1,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,10202,1,2,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,20202,2,2,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,30202,3,2,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,40202,4,2,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,10302,1,3,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,20302,2,3,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,30302,3,3,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,40302,4,3,2,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,10103,1,1,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,20103,2,1,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,30103,3,1,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWL,40103,4,1,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,10203,1,2,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,20203,2,2,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,30203,3,2,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWM,40203,4,2,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
2,NHBWH,10303,1,3,3,0.835608048,0.854673975,2.430744553,0.988450686,1.11592422,0.647174761,1.19461624,1.193036526,0.629194122,0.660635252,0.556301476,1.019738702,0.417135601,1.030755057
