t matrices
d mo47
a matrix=mo47 AuAc 0 Auto Accessibility
7700 all:11.46223
7710 all:11.43375
7720 all:9.95147
7730 all:17.23408
7740 all:10.01719
7750 all:9.10697
7760 all:17.29556
7770 all:15.99464
7780 all:8.78949
7790 all:11.14782
7800 all:9.95770
7810 all:9.77295
7820 all:7.99826
7830 all:9.48925
7840 all:8.40696
7850 all:12.87926
7860 all:9.47585
7870 all:8.09766
7880 all:12.42885
7890 all:11.70464
7900 all:8.85644
7910 all:13.32322
7920 all:12.82210
7930 all:13.70158
8000 all:7.85586
8010 all:7.02229
8020 all:8.76832
8030 all:7.45284
8040 all:7.01885
8050 all:8.17883
8060 all:9.60607
8070 all:13.10805
8080 all:13.09057
8090 all:12.68183
8100 all:9.41096
8110 all:6.25217
8120 all:7.85745
8130 all:10.07915
8140 all:8.82528
8150 all:7.97569
8160 all:6.90629
8170 all:9.82357
8180 all:7.94298
8200 all:8.84047
8210 all:12.48028
8220 all:10.59659
8300 all:23.15122
8310 all:34.49752
8320 all:27.62031
8330 all:18.44575
8340 all:11.64446
8350 all:14.45155
8360 all:27.16242
8370 all:15.02486
8400 all:10.35353
8410 all:8.50310
8420 all:11.65405
8430 all:10.67083
8440 all:7.38904
8450 all:7.88191
8460 all:7.52095
8470 all:6.58105
8480 all:3.92160
8490 all:4.78115
8500 all:3.01956
8510 all:4.50929
8520 all:10.51536
8530 all:12.35368
8540 all:20.14978
8550 all:22.28676
8560 all:10.05935
8570 all:16.45909
8580 all:16.24949
8590 all:10.49744
8600 all:14.15731
8610 all:6.98217
8620 all:6.73120
8630 all:5.02541
8640 all:4.52694
8650 all:12.03854
8660 all:12.61695
8670 all:6.82754
8680 all:9.92111
8690 all:12.32541
8700 all:8.18325
8710 all:5.57073
8720 all:6.11662
8730 all:5.42191
8740 all:4.93158
8750 all:7.14943
8760 all:5.73198
8770 all:4.32360
8780 all:5.86299
8790 all:4.84362
8800 all:5.27468
8810 all:7.89682
8820 all:7.95294
8830 all:8.07440
8840 all:6.22562
9000 all:2.76022
9010 all:2.01825
9020 all:3.16721
9030 all:3.94963
9040 all:8.37980
9050 all:6.97368
9060 all:7.57928
9070 all:3.74760
9080 all:11.67121
9090 all:7.89097
9100 all:3.85944
9110 all:3.07090
9120 all:3.23423
9130 all:1.73854
9140 all:1.40479
9150 all:1.07020
9160 all:1.34391
