c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:47
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   1110  195.4506
    all   1150  116.5214
    all   1200  682.1093
    all   1210  43.95822
    all   1220  1094.247
    all   1230   556.398
    all   1240  988.2896
    all   1250  1811.077
    all   1260  851.0718
    all   1270  528.9232
    all   1280  833.8314
    all   1290   96.4863
    all   1500  251.2658
    all   1510  764.2892
    all   1520  229.2757
    all   1530  279.3441
    all   1550   441.101
    all   1560  520.6357
    all   1570  635.5458
    all   1580   467.498
    all   1590  744.5309
    all   1600  777.5773
    all   1610  834.1908
    all   1620   334.222
    all   1630  117.2357
    all   1640  320.9475
    all   1650  113.9923
    all   1660  604.7862
    all   1670  173.3349
    all   1680  734.6864
    all   1690  174.0478
    all   1700  513.4282
    all   1710   299.844
    all   1900  625.0889
    all   1910  4.469323
    all   1930  17.58535
    all   2010  1110.141
    all   2020  586.8615
    all   2030  482.0243
    all   2040  1203.019
    all   2050  609.1526
    all   2060  913.7536
    all   2070  1470.563
    all   2080  823.6903
    all   2090   1813.74
    all   2100  347.6255
    all   2110  34.94848
    all   2120  34.94848
    all   2130  714.6187
    all   2140  .5712938
    all   2150  17.64739
    all   2160  243.3303
    all   2170  6.751889
    all   2180  104.7112
    all   2190  605.8808
    all   2200  54.09382
    all   2210  409.3115
    all   2220  446.6041
    all   2230  200.9199
    all   2240  186.8321
    all   2250  267.8188
    all   2260  395.0763
    all   2270  197.0546
    all   2280  262.3961
    all   2290   665.503
    all   2300  603.6356
    all   2310  1266.873
    all   2320  149.2035
    all   2330   906.139
    all   2900  72.46103
    all   2910  255.4433
    all   2920  1065.016
    all   3000  653.0091
    all   3010  874.1477
    all   3020  851.3987
    all   3030  801.2861
    all   3040  648.8478
    all   3050  1599.255
    all   3060  958.3485
    all   3070  1103.567
    all   3080  314.5811
    all   3090  1000.359
    all   3100  846.1949
    all   3110  325.1861
    all   3120  583.4329
    all   3130  644.0494
