c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:47
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=md24  HhLwIn   0.0 Household Low Income                    
    all   gu16  11360.12
    all   gu21  32263.68
    all   gu22  5621.549
    all   gu23  7457.319
    all   gu24  28925.69
    all   gu25  61453.35
a matrix=md50    aSof   0.0 FactoredAttracSo                        
    all   gu01  27638.56
    all   gu02  53149.82
    all   gu05   78846.4
    all   gu06   69583.9
    all   gu07  79141.34
    all   gu08  22402.78
    all   gu09  114582.4
    all   gu10  38555.13
    all   gu11  31353.87
    all   gu12  61711.97
    all   gu13  16044.77
    all   gu14   91356.7
    all   gu16  18604.87
    all   gu21     81440
    all   gu22  11951.54
    all   gu23  17107.77
    all   gu24   48828.9
    all   gu25  121891.7
a matrix=md51    aEcf   0.0 FactoredAttracEc                        
    all   gu01  14777.97
    all   gu02  39313.85
    all   gu05  61762.87
    all   gu06  63490.67
    all   gu07  63327.65
    all   gu08  13182.71
    all   gu09  116912.5
    all   gu10  28383.37
    all   gu11  28647.39
    all   gu12  41410.42
    all   gu13  13620.18
    all   gu14  70487.53
    all   gu16  15861.61
    all   gu21   15653.3
    all   gu22  4514.599
    all   gu23  7172.945
    all   gu24  37900.17
    all   gu25  84424.84
a matrix=md52    aNof   0.0 FactoredAttracNo                        
    all   gu01  19150.47
    all   gu02  44160.89
    all   gu05  73667.56
    all   gu06  65212.64
    all   gu07  67951.34
    all   gu08  15721.87
    all   gu09  105105.2
    all   gu10  35309.09
    all   gu11  31739.29
    all   gu12   59026.6
    all   gu13  12870.39
    all   gu14  94612.33
    all   gu16  17177.48
    all   gu21  45207.44
    all   gu22  8491.671
    all   gu23  13754.36
    all   gu24  40593.69
    all   gu25    100300
c ------Data Sources:
c C:\proj\rtm-streamline\WorkingModels\RTM_R2015_01 2011_BC\Database\03_TRIP_ATTRACTIONS/Outputs/03-02_OUTPUT_RESULTS.txt
