matrices:,md5,md6,md7,md8,md9,md10,md11,md20,md21,md22,md23,md24,md25,md26,md31,md32,md33,md34,md35,md36,md37,md38,md39,md40,md41
name:,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,PpTt11,Pp2_11,Pp3_11,PSEn11,HhLwIn,HhMdIn,HhHiIn,aWkL,aWkM,aWkH,aNw,aUv,aSc,aSh,aPB,aSo,aEc,aNo
description,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_population,2011_Pop 5to12,2011_Pop_13to17,PostSec 2011 FT Enrl,Household Low Income,Household Medium Income,Household High Income,AttracWkL,AttracWkM,AttracWkH,AttracNw,AttracUv,AttracSc,AttracSh,AttracPB,AttracSo,AttracEc,AttracNo
1020,199.0,22.0,285.0,6.0,26.0,263.0,147.0,908.0,66.0,45.0,0.0,98.09788513183594,82.87660217285156,182.024169921875,74.26686096191406,264.6527404785156,315.61029052734375,234.03578186035156,19.035842895507812,230.09898376464844,48.16417694091797,149.33029174804688,667.43310546875,303.4805908203125,317.5966491699219
1030,0.0,0.0,0.0,5.0,96.0,4.0,46.0,1361.0,141.0,126.0,0.0,119.88185119628906,101.040771484375,237.07542419433594,17.52041244506836,76.29266357421875,61.05162048339844,126.29458618164062,5.956794261932373,506.44903564453125,60.723392486572266,76.98274230957031,332.3184509277344,354.6844787597656,208.26634216308594
1040,144.0,88.0,62.0,22.0,258.0,39.0,82.0,3558.0,361.0,270.0,0.0,345.16925048828125,269.5766296386719,654.2479858398438,67.93118286132812,292.78515625,259.30413818359375,381.8150634765625,10.618633270263672,1192.8045654296875,184.39149475097656,200.8040008544922,915.686279296875,844.922119140625,569.1541137695312
1050,120.0,226.0,75.0,26.0,465.0,87.0,206.0,7286.0,572.0,550.0,0.0,731.9254760742188,574.5614624023438,1281.5023193359375,123.35018920898438,543.943603515625,470.10516357421875,761.6676025390625,26.67607879638672,2130.165283203125,322.8744201660156,416.3786926269531,1861.83837890625,1526.13427734375,1138.478515625
1060,317.0,98.0,153.0,32.0,379.0,246.0,356.0,5437.0,472.0,370.0,0.0,473.1632995605469,397.3612976074219,1010.4661865234375,163.24417114257812,588.0729370117188,510.7982482910156,684.3253173828125,46.10041046142578,1629.3692626953125,277.12152099609375,435.596923828125,1767.5709228515625,1298.2791748046875,1028.996337890625
1070,0.0,69.0,0.0,6.0,216.0,73.0,878.0,5047.0,560.0,407.0,0.0,478.2215576171875,402.6771545410156,966.0932006835938,176.51268005371094,615.08154296875,439.9349060058594,746.6624755859375,113.69707489013672,1942.99365234375,189.1589813232422,586.7750244140625,1565.5731201171875,1562.328857421875,963.953369140625
1080,18.0,28.0,0.0,5.0,98.0,60.0,442.0,2445.0,176.0,184.0,0.0,241.60928344726562,189.65966796875,421.72747802734375,91.39965057373047,304.8967590332031,216.119873046875,365.114990234375,57.23702621459961,740.9525756835938,97.64979553222656,296.4569091796875,806.512451171875,638.1810302734375,489.3421630859375
1090,173.0,449.0,108.0,309.0,899.0,626.0,459.0,4461.0,187.0,163.0,0.0,899.5093994140625,719.2846069335938,1088.2022705078125,307.1353454589844,1060.287841796875,899.0885620117188,1205.081787109375,59.43844985961914,724.84716796875,1039.4737548828125,729.2068481445312,2733.1982421875,991.1266479492188,1728.250244140625
1100,593.0,1177.0,168.0,3344.0,1609.0,1204.0,980.0,5280.0,303.0,247.0,25.0,1039.771728515625,831.4006958007812,1258.8233642578125,899.7510986328125,2248.858642578125,1865.537353515625,3841.13720703125,166.9988250732422,1178.6038818359375,9784.5029296875,2985.0068359375,10153.8046875,2922.947509765625,8820.2705078125
1110,171.0,60.0,5.0,38.0,141.0,149.0,191.0,1900.0,148.0,126.0,0.0,232.00723266601562,195.45062255859375,462.538330078125,85.76292419433594,256.4271545410156,191.53936767578125,281.4447021484375,24.733646392822266,541.71337890625,173.86703491210938,210.1764678955078,793.441162109375,489.6642761230469,469.2952880859375
1150,18.0,16.0,11.0,21.0,143.0,23.0,80.0,1396.0,121.0,75.0,0.0,137.0621337890625,116.5213623046875,272.4144592285156,34.209659576416016,137.316650390625,113.4087905883789,183.45726013183594,10.359642028808594,378.8443603515625,107.87088012695312,109.33309936523438,414.36700439453125,292.61553955078125,266.7523193359375
1200,27.0,215.0,106.0,332.0,262.0,281.0,528.0,5461.0,564.0,384.0,0.0,579.4974365234375,682.1092529296875,1022.37841796875,227.73593139648438,896.8126220703125,725.4197387695312,1016.9571533203125,56.16852951049805,1378.0501708984375,1560.6668701171875,1048.3665771484375,1866.71728515625,1729.268798828125,1923.0340576171875
1210,1038.0,235.0,684.0,1187.0,1695.0,716.0,202.0,380.0,33.0,22.0,3.0,37.62405776977539,43.958221435546875,64.41681671142578,790.5899658203125,3094.95849609375,2671.33984375,2683.894287109375,25.44108009338379,99.42681884765625,4416.7041015625,1317.726318359375,2503.65185546875,983.5767822265625,3215.397705078125
1220,94.0,240.0,49.0,368.0,258.0,647.0,565.0,7176.0,468.0,339.0,8.0,970.4518432617188,1094.2471923828125,1420.2864990234375,335.9681701660156,1081.7294921875,803.069091796875,1294.1937255859375,70.64421081542969,1186.2176513671875,1798.114990234375,1404.35791015625,3035.509765625,1732.3966064453125,2230.354248046875
1230,55.0,17.0,0.0,25.0,56.0,106.0,602.0,4031.0,271.0,201.0,0.0,490.0223388671875,556.3980102539062,740.571533203125,114.96733093261719,515.4088134765625,431.7134704589844,465.90338134765625,64.04063415527344,724.65966796875,337.44232177734375,788.66650390625,1136.822998046875,915.3770751953125,1073.6680908203125
1240,253.0,2246.0,424.0,350.0,1362.0,914.0,759.0,5252.0,191.0,138.0,292.0,910.7907104492188,988.28955078125,1097.9146728515625,1044.9658203125,3714.330322265625,3864.204833984375,3498.15771484375,465.43878173828125,543.68505859375,1614.594970703125,1690.948974609375,3831.169189453125,1281.98095703125,2170.82763671875
1250,82.0,719.0,110.0,485.0,882.0,649.0,1696.0,9220.0,305.0,224.0,25.0,1668.4014892578125,1811.0767822265625,2015.5125732421875,660.93701171875,2618.22412109375,2469.516845703125,2540.5234375,213.35647583007812,928.2470703125,2355.36865234375,2605.76025390625,3948.7841796875,1851.346435546875,3839.72900390625
1260,223.0,0.0,0.0,14.0,303.0,55.0,401.0,7769.0,805.0,515.0,0.0,710.2237548828125,851.07177734375,1344.6827392578125,151.83859252929688,671.104736328125,458.4408874511719,712.47998046875,42.65829849243164,1880.8216552734375,523.8311157226562,685.014892578125,1729.176513671875,1935.7738037109375,1245.0465087890625
1270,82.0,43.0,19.0,4.0,150.0,173.0,2418.0,4511.0,348.0,226.0,0.0,455.0708923339844,528.9232177734375,761.99560546875,356.21502685546875,1795.397705078125,1888.153076171875,1172.5950927734375,257.2263488769531,1072.870849609375,288.8746643066406,2553.6025390625,1879.6368408203125,1770.35302734375,2837.927001953125
1280,409.0,33.0,757.0,135.0,313.0,64.0,138.0,5837.0,422.0,225.0,0.0,729.8311767578125,833.8314208984375,1134.32421875,225.104248046875,978.4483032226562,663.2277221679688,716.1927490234375,14.680411338806152,915.2330322265625,854.326171875,442.3489074707031,1346.3843994140625,998.5552978515625,1089.008056640625
1290,475.0,93.0,264.0,505.0,950.0,815.0,63.0,901.0,77.0,51.0,0.0,78.80572509765625,96.48629760742188,161.70510864257812,507.460205078125,1616.604736328125,1404.443603515625,1523.35693359375,6.7019267082214355,185.12350463867188,1923.9710693359375,903.9608154296875,2481.9970703125,771.739013671875,1423.6785888671875
1500,0.0,175.0,21.0,249.0,263.0,121.0,174.0,2315.0,226.0,144.0,0.0,203.16610717773438,251.26577758789062,433.5596618652344,130.4288787841797,526.7363891601562,456.4295654296875,636.87841796875,18.51008415222168,534.2009887695312,1062.3094482421875,456.7046203613281,846.3798217773438,719.7889404296875,1038.4227294921875
1510,61.0,277.0,79.0,565.0,379.0,284.0,135.0,5974.0,444.0,341.0,0.0,651.23193359375,764.2892456054688,1137.4620361328125,222.39625549316406,856.50341796875,581.1725463867188,1183.7138671875,14.361271858215332,1106.7587890625,2454.271484375,821.491455078125,1913.168212890625,1464.9273681640625,2179.650146484375
1520,1155.0,330.0,1108.0,357.0,1343.0,401.0,168.0,1733.0,162.0,88.0,0.0,190.84707641601562,229.27569580078125,365.8709716796875,714.0266723632812,2818.0263671875,2501.665283203125,1942.501708984375,17.87180519104004,366.678466796875,1426.705810546875,675.9305419921875,1848.6572265625,728.084716796875,1242.1968994140625
1530,108.0,63.0,81.0,13.0,218.0,622.0,126.0,3253.0,314.0,257.0,0.0,221.6628875732422,279.34405517578125,504.9825439453125,247.86643981933594,568.349609375,461.7408447265625,635.8490600585938,13.403853416442871,808.2035522460938,245.75701904296875,650.1729125976562,2155.80126953125,1083.9163818359375,498.47509765625
1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550,0.0,45.0,0.0,6.0,172.0,183.0,301.0,4519.0,449.0,349.0,0.0,354.6139221191406,441.1009826660156,772.2697143554688,118.26390075683594,395.5637512207031,315.19940185546875,485.8863525390625,32.02031707763672,1143.6998291015625,296.76361083984375,561.91650390625,1375.34912109375,1257.283935546875,784.7241821289062
