   inode    jnode  @lanesam  @lanesmd  @lanespm    @vdfam    @vdfmd    @vdfpm   @tollam   @tollmd   @tollpm
   22810   228106         1         1         1         1         1         1         0         0         0
   22820   228207         1         1         1         1         1         1         0         0         0
   22830   228302         1         1         1         1         1         1         0         0         0
   22840   228402         1         1         1         1         1         1         0         0         0
   22850   228502         1         1         1         1         1         1         0         0         0
   22860   228604         1         1         1         1         1         1         0         0         0
   22870   228701         1         1         1         1         1         1         0         0         0
   22880   228802         1         1         1         1         1         1         0         0         0
   22890   228210         1         1         1         1         1         1         0         0         0
   22900   229001         1         1         1         1         1         1         0         0         0
   22910   229103         1         1         1         1         1         1         0         0         0
   23010   230102         1         1         1         1         1         1         0         0         0
   23020   230201         1         1         1         1         1         1         0         0         0
   23030   231401         1         1         1         1         1         1         0         0         0
   23040   230401         1         1         1         1         1         1         0         0         0
   23050   230501         1         1         1         1         1         1         0         0         0
   23060   230601         1         1         1         1         1         1         0         0         0
   23070   230701         1         1         1         1         1         1         0         0         0
   23080   230802         1         1         1         1         1         1         0         0         0
   23090   230904         1         1         1         1         1         1         0         0         0
   23100   231001         1         1         1         1         1         1         0         0         0
   23110   231102         1         1         1         1         1         1         0         0         0
   23120   231203         1         1         1         1         1         1         0         0         0
   23130   230203         1         1         1         1         1         1         0         0         0
   23140   231501         1         1         1         1         1         1         0         0         0
   23150   231502         1         1         1         1         1         1         0         0         0
   23160   231601         1         1         1         1         1         1         0         0         0
   23170   231701         1         1         1         1         1         1         0         0         0
   23180   231801         1         1         1         1         1         1         0         0         0
   23190   231902         1         1         1         1         1         1         0         0         0
   23200   232007         1         1         1         1         1         1         0         0         0
   23210   230903         1         1         1         1         1         1         0         0         0
   23220   232203         1         1         1         1         1         1         0         0         0
   23230   232404         1         1         1         1         1         1         0         0         0
   23240   232403         1         1         1         1         1         1         0         0         0
   23250   232501         1         1         1         1         1         1         0         0         0
   23260   232601         1         1         1         1         1         1         0         0         0
   23270   232702         1         1         1         1         1         1         0         0         0
   23280   232809         1         1         1         1         1         1         0         0         0
   23290   232902         1         1         1         1         1         1         0         0         0
   23300   232302         1         1         1         1         1         1         0         0         0
   23310   232405         1         1         1         1         1         1         0         0         0
   23320   233203         1         1         1         1         1         1         0         0         0
   23330   233301         1         1         1         1         1         1         0         0         0
   23340   233402         1         1         1         1         1         1         0         0         0
   23350   233504         1         1         1         1         1         1         0         0         0
   23360   233605         1         1         1         1         1         1         0         0         0
   23370   233704         1         1         1         1         1         1         0         0         0
   23380   233803         1         1         1         1         1         1         0         0         0
   23390   232904         1         1         1         1         1         1         0         0         0
   23400   233003         1         1         1         1         1         1         0         0         0
   23410   234108         1         1         1         1         1         1         0         0         0
   23420   234203         1         1         1         1         1         1         0         0         0
   23430   234303         1         1         1         1         1         1         0         0         0
   23440   234401         1         1         1         1         1         1         0         0         0
   23450   234501         1         1         1         1         1         1         0         0         0
   23460   231403         1         1         1         1         1         1         0         0         0
   23470   234801         1         1         1         1         1         1         0         0         0
   23480   233505         1         1         1         1         1         1         0         0         0
   23490   235001         1         1         1         1         1         1         0         0         0
   23500   235002         1         1         1         1         1         1         0         0         0
   23510   235101         1         1         1         1         1         1         0         0         0
   23520   235201         1         1         1         1         1         1         0         0         0
   23530   235801         1         1         1         1         1         1         0         0         0
   23540   234108         1         1         1         1         1         1         0         0         0
   23550   235501         1         1         1         1         1         1         0         0         0
   23560   256203         1         1         1         1         1         1         0         0         0
   23570   234802         1         1         1         1         1         1         0         0         0
   23580   235901         1         1         1         1         1         1         0         0         0
   23590   235502         1         1         1         1         1         1         0         0         0
   23600   235601         1         1         1         1         1         1         0         0         0
   23610   236204         1         1         1         1         1         1         0         0         0
   23620   236301         1         1         1         1         1         1         0         0         0
   23630   236701         1         1         1         1         1         1         0         0         0
   23640   236406         1         1         1         1         1         1         0         0         0
   23650   236503         1         1         1         1         1         1         0         0         0
   23660   236601         1         1         1         1         1         1         0         0         0
   23670   237402         1         1         1         1         1         1         0         0         0
   23680   236801         1         1         1         1         1         1         0         0         0
   23690   236901         1         1         1         1         1         1         0         0         0
   23700   237001         1         1         1         1         1         1         0         0         0
   23710   237101         1         1         1         1         1         1         0         0         0
   23720   237301         1         1         1         1         1         1         0         0         0
   23730   237303         1         1         1         1         1         1         0         0         0
   23740   237403         1         1         1         1         1         1         0         0         0
   23750   236407         1         1         1         1         1         1         0         0         0
   23760   237601         1         1         1         1         1         1         0         0         0
   23770   237702         1         1         1         1         1         1         0         0         0
   23780   236802         1         1         1         1         1         1         0         0         0
   23790   237901         1         1         1         1         1         1         0         0         0
   23800   238002         1         1         1         1         1         1         0         0         0
   23810   258401         1         1         1         1         1         1         0         0         0
   24010   240101         1         1         1         1         1         1         0         0         0
   24020   240201         1         1         1         1         1         1         0         0         0
   24030   242301         1         1         1         1         1         1         0         0         0
   24040   240401         1         1         1         1         1         1         0         0         0
   24050   240601         1         1         1         1         1         1         0         0         0
   24060   240602         1         1         1         1         1         1         0         0         0
   24070   240802         1         1         1         1         1         1         0         0         0
   24080   237502         1         1         1         1         1         1         0         0         0
   24090   242001         1         1         1         1         1         1         0         0         0
   24100   242101         1         1         1         1         1         1         0         0         0
   24110   241101         1         1         1         1         1         1         0         0         0
   24120   241202         1         1         1         1         1         1         0         0         0
   24130   238101         1         1         1         1         1         1         0         0         0
   24140   241504         1         1         1         1         1         1         0         0         0
   24150   241503         1         1         1         1         1         1         0         0         0
   24160   240501         1         1         1         1         1         1         0         0         0
   24170   241701         1         1         1         1         1         1         0         0         0
   24180   242601         1         1         1         1         1         1         0         0         0
   24190   241901         1         1         1         1         1         1         0         0         0
   24200   242003         1         1         1         1         1         1         0         0         0
   24210   242102         1         1         1         1         1         1         0         0         0
   24220   241203         1         1         1         1         1         1         0         0         0
   24230   242302         1         1         1         1         1         1         0         0         0
   24240   243102         1         1         1         1         1         1         0         0         0
   24250   243201         1         1         1         1         1         1         0         0         0
   24260   242602         1         1         1         1         1         1         0         0         0
   24270   242701         1         1         1         1         1         1         0         0         0
   24280   242004         1         1         1         1         1         1         0         0         0
   24290   243103         1         1         1         1         1         1         0         0         0
   24300   243002         1         1         1         1         1         1         0         0         0
   24310   243104         1         1         1         1         1         1         0         0         0
   24320   243201         1         1         1         1         1         1         0         0         0
   24330   243306         1         1         1         1         1         1         0         0         0
   24340   243401         1         1         1         1         1         1         0         0         0
   24350   243502         1         1         1         1         1         1         0         0         0
   24360   243601         1         1         1         1         1         1         0         0         0
   24370   243106         1         1         1         1         1         1         0         0         0
   24380   243801         1         1         1         1         1         1         0         0         0
   24390   244602         1         1         1         1         1         1         0         0         0
   24400   243506         1         1         1         1         1         1         0         0         0
   24410   244303         1         1         1         1         1         1         0         0         0
   24420   244201         1         1         1         1         1         1         0         0         0
   24430   244306         1         1         1         1         1         1         0         0         0
   24440   244204         1         1         1         1         1         1         0         0         0
   24450   244506         1         1         1         1         1         1         0         0         0
   24460   265404         1         1         1         1         1         1         0         0         0
   24470   244708         1         1         1         1         1         1         0         0         0
   25010   250101         1         1         1         1         1         1         0         0         0
