    line   @hdwyam   @hdwymd   @hdwypm
'C7E1  '         0         0        15
'C7W1  '         0         0        30
'C84N1 '         0         0        60
'C84S1 '         0         0        60
'C87E1 '         0         0        30
'C87W1 '         0         0        30
'C89N1 '         0         0        60
'C89S1 '         0         0        60
'C8E1  '         0         0        10
'C8W1  '         0         0        10
'C92E1 '         0         0        20
'C92W1 '         0         0        20
'C93E1 '         0         0        30
'C93W1 '         0         0        20
'C94E1 '         0         0        30
'C94W1 '         0         0        30
'C96E1 '         0         0        30
'C96W1 '         0         0        60
'C98N1 '         0         0        30
'C98S1 '         0         0        30
'C9N1  '         0         0        30
'C9S1  '         0         0        30
'cf01E '         0         0        15
'cf01W '         0         0        15
'cf02E '         0         0        15
'cf02W '         0         0        15
'cf03E '         0         0        15
'cf03W '         0         0        15
'cf04N '         0         0        30
'cf04S '         0         0        30
'cf05E '         0         0        30
'cf05W '         0         0        30
'cf06L '         0         0        30
'cf07L '         0         0        30
'cf12N '         0         0        30
'cf12S '         0         0        30
'cf15E '         0         0        60
'cf15W '         0         0        60
'cf16E '         0         0        30
'cf16W '         0         0        30
'cf17L '         0         0        60
'cf21E '         0         0        60
'cf21W '         0         0        60
'cf31N '         0         0        15
'cf31S '         0         0        15
'cf32L '         0         0        30
'cf33L '         0         0        30
'cf34N '         0         0        30
'cf34S '         0         0        30
'cf35E '         0         0        60
'cf35W '         0         0        60
'ch01N '         0         0        15
'ch01S '         0         0        15
'ch02N '         0         0        60
'ch02S '         0         0        60
'ch03L '         0         0        30
'ch04N '         0         0        60
'ch04S '         0         0        60
