c Emme Modeller - Turn Transaction
c Date: 2016-05-31 15:30:30
c Project:        Combined Itineraries                                        
c Scenario 2100:  2015 MD Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 223003  22300 223102    -1      0      0      0
a 223003 223006  22300    -1      0      0      0
a 223003 223006 223001    -1      0      0      0
a 223003 223006 223102     0      0      0      0
a 223003 224003  22300    -1      0      0      0
a 223003 224003 223001    -1      0      0      0
a 223003 224003 223102    -1      0      0      0
a 223004 222704 222704     0      0      0      0
a 223004 222704 222801    -1      0      0      0
a 223004 222704 222901    -1      0      0      0
a 223004 222704 223001     0      0      0      0
a 223004 222704 223002    -1      0      0      0
a 223004 222704 224001    -1      0      0      0
a 223004 222704 224003    -1      0      0      0
a 223004 222902 222704    -1      0      0      0
a 223004 222902 222801    -1      0      0      0
a 223004 222902 222901    -1      0      0      0
a 223004 222902 223001    -1      0      0      0
a 223004 222902 223002    -1      0      0      0
a 223004 222902 224001    -1      0      0      0
a 223004 222902 224003    -1      0      0      0
a 223004 223001 222704    -1      0      0      0
a 223004 223001 222801    -1      0      0      0
a 223004 223001 222901    -1      0      0      0
a 223004 223001 223001     0      0      0      0
a 223004 223001 223002    -1      0      0      0
a 223004 223001 224001    -1      0      0      0
a 223004 223001 224003    -1      0      0      0
a 223004 223005 222704    -1      0      0      0
a 223004 223005 222801    -1      0      0      0
a 223004 223005 222901    -1      0      0      0
a 223004 223005 223001    -1      0      0      0
a 223004 223005 223002    -1      0      0      0
a 223004 223005 224001    -1      0      0      0
a 223004 223005 224003    -1      0      0      0
a 223004 224001 222704    -1      0      0      0
a 223004 224001 222801    -1      0      0      0
a 223004 224001 222901    -1      0      0      0
a 223004 224001 223001    -1      0      0      0
a 223004 224001 223002    -1      0      0      0
a 223004 224001 224001     0      0      0      0
a 223004 224001 224003    -1      0      0      0
a 223004 224002 222704    -1      0      0      0
a 223004 224002 222801    -1      0      0      0
a 223004 224002 222901    -1      0      0      0
a 223004 224002 223001    -1      0      0      0
a 223004 224002 223002    -1      0      0      0
a 223004 224002 224001    -1      0      0      0
a 223004 224002 224003    -1      0      0      0
a 223004 224003 222704    -1      0      0      0
a 223004 224003 222801    -1      0      0      0
a 223004 224003 222901    -1      0      0      0
a 223004 224003 223001    -1      0      0      0
a 223004 224003 223002    -1      0      0      0
a 223004 224003 224001     0      0      0      0
a 223004 224003 224003     0      0      0      0
a 223301 222105 222105     0      0      0      0
a 223301 222105 223302     0      0      0      0
a 223301 222105 224402    -1      0      0      0
a 223301 224203 222105    -1      0      0      0
a 223301 224203 223302    -1      0      0      0
a 223301 224203 224402    -1      0      0      0
a 223301 224402 222105    -1      0      0      0
a 223301 224402 223302    -1      0      0      0
a 223301 224402 224402     0      0      0      0
a 223702 222402 222402     0      0      0      0
a 223702 222402 225001    -1      0      0      0
a 223702 222402 225103    -1      0      0      0
a 223702 223701 222402    -1      0      0      0
a 223702 223701 225001    -1      0      0      0
a 223702 223701 225103    -1      0      0      0
a 223702 225103 222402    -1      0      0      0
a 223702 225103 225001    -1      0      0      0
a 223702 225103 225103     0      0      0      0
a 223806 222802 223801    -1      0      0      0
a 223806 222802 223805    -1      0      0      0
a 223806 222802 223808    -1      0      0      0
a 223806 222802 224001    -1      0      0      0
a 223806 222802 224004    -1      0      0      0
a 223806 222802 224005    -1      0      0      0
a 223806 223801 223801     0      0      0      0
a 223806 223801 223805    -1      0      0      0
a 223806 223801 223808    -1      0      0      0
a 223806 223801 224001     0      0      0      0
a 223806 223801 224004    -1      0      0      0
a 223806 223801 224005    -1      0      0      0
a 223806 223808 223801    -1      0      0      0
a 223806 223808 223805    -1      0      0      0
a 223806 223808 223808     0      0      0      0
a 223806 223808 224001    -1      0      0      0
a 223806 223808 224004    -1      0      0      0
a 223806 223808 224005    -1      0      0      0
a 223806 223901 223801    -1      0      0      0
a 223806 223901 223805    -1      0      0      0
a 223806 223901 223808    -1      0      0      0
a 223806 223901 224001    -1      0      0      0
a 223806 223901 224004    -1      0      0      0
a 223806 223901 224005    -1      0      0      0
a 223806 224001 223801    -1      0      0      0
a 223806 224001 223805    -1      0      0      0
a 223806 224001 223808    -1      0      0      0
a 223806 224001 224001     0      0      0      0
a 223806 224001 224004    -1      0      0      0
a 223806 224001 224005     0      0      0      0
a 223806 224005 223801    -1      0      0      0
a 223806 224005 223805    -1      0      0      0
a 223806 224005 223808    -1      0      0      0
a 223806 224005 224001    -1      0      0      0
a 223806 224005 224004    -1      0      0      0
a 223806 224005 224005     0      0      0      0
a 223808 223804 223804     0      0      0      0
a 223808 223804 223806    -1      0      0      0
a 223808 223804 223809    -1      0      0      0
a 223808 223804 223810    -1      0      0      0
a 223808 223804 223901    -1      0      0      0
a 223808 223805 223804    -1      0      0      0
a 223808 223805 223806    -1      0      0      0
a 223808 223805 223809    -1      0      0      0
a 223808 223805 223810    -1      0      0      0
a 223808 223805 223901    -1      0      0      0
a 223808 223806 223804     0      0      0      0
a 223808 223806 223806     0      0      0      0
a 223808 223806 223809    -1      0      0      0
a 223808 223806 223810    -1      0      0      0
a 223808 223806 223901    -1      0      0      0
a 223808 223809 223804    -1      0      0      0
a 223808 223809 223806    -1      0      0      0
a 223808 223809 223809     0      0      0      0
a 223808 223809 223810    -1      0      0      0
a 223808 223809 223901    -1      0      0      0
a 223808 223903 223804    -1      0      0      0
a 223808 223903 223806    -1      0      0      0
a 223808 223903 223809    -1      0      0      0
a 223808 223903 223810    -1      0      0      0
a 223808 223903 223901    -1      0      0      0
a 223808 225301 223804    -1      0      0      0
a 223808 225301 223806    -1      0      0      0
a 223808 225301 223809    -1      0      0      0
a 223808 225301 223810    -1      0      0      0
a 223808 225301 223901    -1      0      0      0
a 223809 223807 223808    -1      0      0      0
a 223809 223807 225101    -1      0      0      0
a 223809 223807 225201    -1      0      0      0
a 223809 223807 225203    -1      0      0      0
a 223809 223807 225301    -1      0      0      0
a 223809 223808 223808     0      0      0      0
a 223809 223808 225101    -1      0      0      0
a 223809 223808 225201    -1      0      0      0
a 223809 223808 225203    -1      0      0      0
a 223809 223808 225301    -1      0      0      0
a 223809 223810 223808    -1      0      0      0
a 223809 223810 225101    -1      0      0      0
a 223809 223810 225201    -1      0      0      0
a 223809 223810 225203    -1      0      0      0
a 223809 223810 225301    -1      0      0      0
a 223809 225201 223808    -1      0      0      0
a 223809 225201 225101    -1      0      0      0
a 223809 225201 225201     0      0      0      0
a 223809 225201 225203     0      0      0      0
a 223809 225201 225301    -1      0      0      0
a 223809 225202 223808    -1      0      0      0
a 223809 225202 225101    -1      0      0      0
a 223809 225202 225201    -1      0      0      0
a 223809 225202 225203    -1      0      0      0
a 223809 225202 225301    -1      0      0      0
a 224001  22280  22280     0      0      0      0
a 224001  22280 222705    -1      0      0      0
a 224001  22280 222802    -1      0      0      0
a 224001  22280 223004    -1      0      0      0
a 224001  22280 223806    -1      0      0      0
a 224001  22280 224002    -1      0      0      0
a 224001 222705  22280    -1      0      0      0
a 224001 222705 222705     0      0      0      0
