GU,senprop_gt20pcnt,HH size,0 worker,1 worker,2 worker,3+ worker,3+adjust
24,0,4,0.065455061,0.279591647,0.463976693,0.190976599,3.39
24,1,1,0.367317867,0.632682133,0,0,3.39
24,1,2,0.286480061,0.312467203,0.401052736,0,3.39
24,1,3,0.07624537,0.300751774,0.514147447,0.108855409,3.39
24,1,4,0.065455061,0.279591647,0.463976693,0.190976599,3.39
25,0,1,0.3161855,0.6838145,0,0,3.39
25,0,2,0.192438006,0.306836859,0.500725134,0,3.39
25,0,3,0.058158174,0.358329296,0.457081464,0.126431066,3.39
25,0,4,0.029336485,0.201528397,0.470973159,0.298161959,3.39
25,1,1,0.460873484,0.539126516,0,0,3.39
25,1,2,0.363899669,0.259167345,0.376932986,0,3.39
25,1,3,0,0.206071794,0.515272226,0.27865598,3.39
25,1,4,0.041341817,0.182126571,0.591791851,0.184739761,3.39
