t matrices
 gg14 gg10:0.87357075622408198
 gg14 gg11:0.27299086132002565
 gg14 gg12:3.98566657527237656
 gg14 gg13:15.77887178429746662
 gg14 gg14:38.10952424027559715
 gg14 gg15:72.54926470588239340
 gg14 gg16:20.25592190994590069
 gg14 gg17:0.92816892848808696
 gg14 gg18:3.00289947452028327
 gg14 gg19:10.81043810827299900
 gg14 gg20:8.13512766733676429
 gg14 gg21:4.25865743659239637
 gg14 gg22:1.63794516792015332
 gg14 gg23:8.84490390676883109
 gg14 gg24:1.47415065112813659
 gg14 gg25:2.18392689056020339
 gg14 gg26:6.49718249941660630
 gg14 gg27:17.30762060768959998
 gg15 gg1:6.09994265281935011
 gg15 gg2:6.52419429820578678
 gg15 gg4:0.62867647058823495
 gg15 gg5:4.58933823529411988
 gg15 gg6:11.94485294117649943
 gg15 gg7:2.89191176470587985
 gg15 gg8:2.20036764705881982
 gg15 gg9:0.88014705882352995
 gg15 gg10:1.38308823529412006
 gg15 gg11:1.00588235294118000
 gg15 gg12:8.36139705882352935
 gg15 gg13:14.52242647058820069
 gg15 gg14:20.49485294117650014
 gg15 gg15:45.76764705882349915
 gg15 gg16:4.52647058823528958
 gg15 gg17:0.62867647058823495
 gg15 gg18:3.58345588235293988
 gg15 gg19:3.58345588235293988
 gg15 gg20:4.46360294117646994
 gg15 gg21:3.01764705882352979
 gg15 gg22:1.69742647058824003
 gg15 gg23:3.01764705882352979
 gg15 gg24:1.44595588235293993
 gg15 gg25:1.00588235294118000
 gg15 gg26:1.25735294117646990
 gg15 gg27:5.21801470588235006
 gg16 gg1:1.06442307692308002
 gg16 gg2:0.67921874999999998
 gg16 gg4:0.10919634452801033
 gg16 gg5:0.38218720584803567
 gg16 gg6:1.20115978980811344
 gg16 gg7:0.49138355037604603
 gg16 gg8:0.60057989490405639
 gg16 gg9:0.16379451679201534
 gg16 gg10:0.05459817226400510
 gg16 gg11:0.38218720584803567
 gg16 gg12:1.03736527301609671
 gg16 gg13:4.47705012564841986
 gg16 gg14:4.69544281470444336
 gg16 gg15:2.76617647058824012
 gg16 gg16:8.35352035639278689
 gg16 gg17:0.21839268905602033
 gg16 gg18:0.87357075622408198
 gg16 gg19:1.25575796207211998
 gg16 gg20:0.60057989490405639
 gg16 gg21:1.09196344528010325
 gg16 gg22:0.16379451679201534
 gg16 gg23:0.81897258396007666
 gg16 gg24:0.32758903358403069
 gg16 gg25:0.27299086132002565
 gg16 gg26:2.18392689056020339
 gg16 gg27:0.98276710075209139
 gg17 gg1:0.42576923076923101
 gg17 gg2:0.05660156250000000
 gg17 gg4:0.00000000000000000
 gg17 gg5:0.00000000000000000
 gg17 gg6:0.32758903358403069
 gg17 gg7:0.05459817226400510
 gg17 gg8:0.10919634452801033
 gg17 gg9:0.10919634452801033
 gg17 gg10:0.10919634452801033
 gg17 gg11:0.10919634452801033
 gg17 gg12:0.43678537811204099
 gg17 gg13:0.32758903358403069
 gg17 gg14:0.65517806716806137
 gg17 gg15:0.50294117647058800
 gg17 gg16:0.21839268905602033
 gg17 gg17:0.27299086132002565
 gg17 gg18:0.21839268905602033
 gg17 gg19:0.21839268905602033
 gg17 gg20:0.76437441169607168
 gg17 gg21:0.05459817226400510
 gg17 gg22:0.05459817226400510
 gg17 gg23:0.10919634452801033
 gg17 gg24:0.27299086132002565
 gg17 gg25:0.00000000000000000
 gg17 gg26:0.21839268905602033
 gg17 gg27:0.27299086132002565
 gg18 gg1:5.39307692307692044
 gg18 gg2:3.59419921875000004
 gg18 gg4:0.10919634452801033
 gg18 gg5:0.60057989490405639
 gg18 gg6:2.12932871829619996
 gg18 gg7:0.87357075622408198
 gg18 gg8:1.03736527301609671
 gg18 gg9:0.27299086132002565
 gg18 gg10:0.32758903358403069
 gg18 gg11:0.16379451679201534
 gg18 gg12:1.80173968471217005
 gg18 gg13:10.42825090242499897
 gg18 gg14:11.95699972581713411
 gg18 gg15:16.72279411764710133
 gg18 gg16:2.72990861320025680
