t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      4  81310  .1862027
      4  81320  .4615066
      4  81380  .5342537
      4  81490  .4636057
      4  81500  .4546896
      4  81590  .4483857
      4  81600  .0672788
      4  81610  .1885069
      4  81640  .0558122
      4  81650  .0903162
      4  82190  .0599179
      4  82250  .2349098
      5      2   16.9861
      5      8  6.114996
      5     10  4.076664
      5     11  4.076664
      5  12020  .3397220
      5  21010  .1288201
      5  21030  .9599479
      5  21050  .2781676
      5  21080  .8398245
      5  21100  .7334732
      5  21150  .4930071
      5  21160  1.039743
      5  22010  2.325422
      5  22390  3.361588
      5  22400  3.122507
      5  22530  2.877473
      5  23370  22.86303
      5  23440  1.254269
      5  23450  .8580104
      5  23460  1.755106
      5  23500  9.291157
      5  24140  .2508778
      5  24150  .7049711
      5  24160  .9387134
      5  24260  .7112822
      5  24270  .2935056
      5  24280  .5930277
      5  24300  .7858705
      5  24320   6.69718
      5  24340  .4781342
      5  24350  .9715840
      5  24400  1.076846
      5  25120  4.624823
      5  25130  5.616831
      5  25220  3.492439
      5  25230  .7823238
      5  25280  2.950998
      5  25290  .2938030
      5  25300  .1664772
      5  25310  .3134761
      5  25320  .6225192
      5  25370  .7516870
      5  25380  .8867260
      5  25390  3.375881
      5  25660  1.654862
      5  25740  2.594271
      5  25800  1.633339
      5  25810  2.076856
      5  26310  3.371066
      5  26340  1.609609
      5  26390  1.067695
      5  26410  .7254260
      5  27140  4.623279
      5  27160   1.99624
      5  27170  .8492536
      5  27220  .8514064
      5  27230  1.911699
      5  27290  .0220816
      5  27660  10.48734
      5  28080  2.717104
      5  28090  .1731218
      5  28220  2.845659
      5  28270  6.454624
      5  28380  1.618883
      5  28390  .9089321
      5  28600  1.361678
      5  28610  1.048353
      5  28710  .1497268
      5  28720  .3263055
      5  28730  .0642538
      5  28740  1.108528
      5  28750  .9084466
      5  29040  .0349510
      5  29060  .0858580
      5  29070  .0670661
      5  29120  .3495229
      5  29280  1.220098
      5  29340  3.338335
      5  31110  .2981812
      5  31120  1.036674
      5  31130  .2385896
      5  31160  .2914866
      5  31170  .2673043
      5  31180  .2006158
      5  31190  .2628468
      5  31210  .6736096
      5  31220  .4668854
      5  31230  .0970731
      5  31240  .1544878
      5  31250  .0889098
      5  32230  2.437196
      5  32250  2.079594
      5  32600  1.117458
      5  32610  1.115083
      5  32620  .6860420
      5  33010  .6828375
      5  33020  .4092243
      5  33160  .4867129
      5  33200  1.856957
      5  34250  4.416387
      5  41030  .5707670
      5  41040  .2046996
      5  41050  .1552246
      5  41070  .0477588
      5  41110  .1218714
      5  42010  .0383899
      5  42200  .0146562
      5  42210  .0344060
      5  42290  .1496619
      5  51020  .9231922
      5  51030  .0220865
      5  51040  .0738873
      5  51490  7.955895
      5  51590   13.1145
      5  51640  7.081077
      5  51710  7.316629
      5  52110  5.069943
      5  52120  2.800121
      5  52210   1.26219
      5  52250   1.34988
      5  52260  2.171109
      5  52270  4.212593
      5  53010  .5896773
      5  53020  .5348843
      5  53030  4.678037
      5  53040  2.665747
      5  53060  .4279484
      5  53100  1.958056
      5  54010  5.049042
      5  54040  5.633185
      5  54050  4.399412
      5  54080  1.702661
      5  54090  1.587145
      5  54100  1.249931
      5  54120  1.927369
      5  54150  2.676119
      5  54160  2.601028
      5  54200  12.86536
      5  54210  2.768858
      5  54240  .3898416
      5  54290  23.47266
      5  54400  7.736797
      5  61090  .1071827
      5  61130  .1715155
      5  61140  .0710821
      5  61210  .1978016
      5  61260  .8183945
      5  61270  .2812471
      5  61300  .2068094
      5  61370  .9653429
      5  61380  .4375113
      5  61390  .5398895
      5  61420  .1113631
      5  61480  .3456287
      5  61500  .0352096
      5  61530  .3725973
      5  61610  .0753766
      5  61800  1.192403
      5  61840  1.299239
      5  61870  .2591275
      5  61910  1.620489
      5  61920  1.342101
      5  62220  .9265323
      5  62290  2.626544
      5  62390  .7440259
      5  62400  .4815620
      5  62410  1.618034
      5  62630  2.633626
      5  62730  .9499183
      5  63010  .1461526
      5  63020  .2575043
      5  63030  .2292271
      5  63040  .0549474
      5  63080  .1186695
      5  63090  .1932342
      5  63100  .1162425
      5  63150   2.92777
      5  63170  .0475861
