c Emme Module:    3.14(v15101)  Date: 14-08-30 12:25   User: E496/HFA......none
c Project:        2011_DB_Assigning_FMS                                       
t matrices
 gg12 gg11:1.01767072710343
 gg12 gg12:9.83748369533318
 gg12 gg13:16.6784924719729
 gg12 gg14:8.65020118037918
 gg12 gg15:17.7915441176471
 gg12 gg16:3.16608670654401
 gg12 gg17:0.621909888785431
 gg12 gg18:0.734984414019145
 gg12 gg19:0.84805893925286
 gg12 gg20:0.961133464486575
 gg12 gg21:0.904596201869718
 gg12 gg22:0.282686313084287
 gg12 gg23:0.734984414019145
 gg12 gg24:0.734984414019145
 gg12 gg25:0.169611787850572
 gg12 gg26:1.35689430280458
 gg12 gg27:0.961133464486575
 gg13 gg1:20.0111538461538
 gg13 gg2:28.21025390625
 gg13 gg4:0.904596201869718
 gg13 gg5:2.37456502990801
 gg13 gg6:12.7774213514098
 gg13 gg7:3.4487730196283
 gg13 gg8:4.86220458504973
 gg13 gg9:0.678447151402288
 gg13 gg10:1.24381977757086
 gg13 gg11:0.508835363551716
 gg13 gg12:7.57599319065888
 gg13 gg13:14.2473901794481
 gg13 gg14:21.8799206327238
 gg13 gg15:60.7301470588235
 gg13 gg16:7.63253045327574
 gg13 gg17:0.452298100934859
 gg13 gg18:0.904596201869718
 gg13 gg19:7.06715782710717
 gg13 gg20:4.69259279719916
 gg13 gg21:2.93993765607658
 gg13 gg22:1.187282514954
 gg13 gg23:0.678447151402288
 gg13 gg24:0.565372626168573
 gg13 gg25:0.621909888785431
 gg13 gg26:3.50531028224516
 gg13 gg27:7.12369508972403
 gg14 gg1:12.9859615384615
 gg14 gg2:13.67666015625
 gg14 gg4:1.24381977757086
 gg14 gg5:3.16608670654401
 gg14 gg6:3.78799659532944
 gg14 gg7:1.30035704018772
 gg14 gg8:1.69611787850572
 gg14 gg9:0.734984414019145
 gg14 gg10:0.904596201869718
 gg14 gg11:0.282686313084287
 gg14 gg12:4.12722017103059
 gg14 gg13:16.3392688962718
 gg14 gg14:39.4630093065664
 gg14 gg15:72.5492647058824
 gg14 gg16:20.9753244308541
 gg14 gg17:0.961133464486575
 gg14 gg18:3.10954944392715
 gg14 gg19:11.1943779981378
 gg14 gg20:8.42405212991175
 gg14 gg21:4.40990648411487
 gg14 gg22:1.69611787850572
 gg14 gg23:9.15903654393089
 gg14 gg24:1.52650609065515
 gg14 gg25:2.26149050467429
 gg14 gg26:6.72793425140602
 gg14 gg27:17.9223122495438
 gg15 gg1:6.09994265281935
 gg15 gg2:6.90481297521142
 gg15 gg4:0.628676470588235
 gg15 gg5:4.58933823529412
 gg15 gg6:11.9448529411765
 gg15 gg7:2.89191176470588
 gg15 gg8:2.20036764705882
 gg15 gg9:0.88014705882353
 gg15 gg10:1.38308823529412
 gg15 gg11:1.00588235294118
 gg15 gg12:8.36139705882353
 gg15 gg13:14.5224264705882
 gg15 gg14:20.4948529411765
 gg15 gg15:45.7676470588235
 gg15 gg16:4.52647058823529
 gg15 gg17:0.628676470588235
 gg15 gg18:3.58345588235294
 gg15 gg19:3.58345588235294
 gg15 gg20:4.46360294117647
 gg15 gg21:3.01764705882353
 gg15 gg22:1.69742647058824
 gg15 gg23:3.01764705882353
 gg15 gg24:1.44595588235294
 gg15 gg25:1.00588235294118
 gg15 gg26:1.25735294117647
 gg15 gg27:5.21801470588235
 gg16 gg1:1.06442307692308
 gg16 gg2:0.82265625
 gg16 gg4:0.113074525233715
 gg16 gg5:0.395760838318001
 gg16 gg6:1.24381977757086
 gg16 gg7:0.508835363551716
 gg16 gg8:0.621909888785431
 gg16 gg9:0.169611787850572
 gg16 gg10:0.0565372626168573
 gg16 gg11:0.395760838318001
 gg16 gg12:1.07420798972029
 gg16 gg13:4.6360555345823
 gg16 gg14:4.86220458504973
 gg16 gg15:2.76617647058824
 gg16 gg16:8.65020118037918
 gg16 gg17:0.226149050467429
 gg16 gg18:0.904596201869718
 gg16 gg19:1.30035704018772
 gg16 gg20:0.621909888785431
 gg16 gg21:1.13074525233715
 gg16 gg22:0.169611787850572
 gg16 gg23:0.84805893925286
 gg16 gg24:0.339223575701144
 gg16 gg25:0.282686313084287
 gg16 gg26:2.26149050467429
 gg16 gg27:1.01767072710343
