TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp10_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11,PSEn11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp,PostSec 2011 FT Enrl
24240,56.42,181.86,116.32,164.61,0,0,509.91,2249.04,929.69,289.78,316.7,136.67,186.53,48.82,125.1,3.31,2.27,182.4,23.98,343.19,729.08,2
24250,103.72,158.35,127.84,273.83,0,0,362.02,2269.43,710.62,88.18,219.38,126.72,276.34,48.41,54.28,4.11,2.82,62.37,2.97,55.79,230.75,0
24260,44.31,189.12,77.68,173.31,0,0,244.75,1390.12,450.75,78.83,142.2,50.43,179.29,2.52,88.77,2.14,1.47,73.03,1.55,43.55,213.02,212
24270,34.77,51.37,68.57,120,0,0,171.62,914.92,277.94,34.49,68.64,68.31,106.5,13.44,10.13,9.15,7.59,23.08,14.94,19.79,98.12,101
24280,42.3,125,125.14,248.18,0,0,223.71,1528.15,499.2,80.35,148.16,90.5,180.18,28.85,46.2,4.9,3.36,37.16,3.54,3.32,127.33,166
24290,31.46,139.45,113.75,217.16,0,0,277.31,1824.77,524.25,47.22,109.64,131.63,235.76,3.95,132.69,108.83,2.29,114.37,24.22,2.27,388.63,0
24300,2.26,44.42,27.8,93.39,0,0,71.55,638.97,200.18,16.77,63.98,55.37,64.05,96.18,2.74,3.63,2.49,61.96,72.17,55.42,294.58,0
24310,91.26,184.76,239.97,393.68,0,0,541.61,3015.63,1083.18,275.82,330.85,190.25,286.26,4.25,170.12,3.61,2.47,88.95,2.61,403.96,675.97,0
24320,86.78,156.71,95.08,169.71,0,0,540.54,2382.06,923.82,282.47,276.26,125.42,239.67,4.09,2.62,3.47,41.67,125.26,163.37,1344.46,1684.94,8886
24330,87.17,85.86,55.62,100.87,0,0,385.06,1487.44,690.99,278.43,202.68,120.86,89.02,485.45,59.24,647.46,107.57,392.14,184.51,124.32,2000.67,0
24340,32.31,74.25,106.2,150.52,0,0,165.17,1103.93,352.53,58.86,90.53,74.2,128.93,1.91,67.18,1.62,1.11,55.27,1.17,32.96,161.21,133
24350,43.22,184.46,99.44,149.15,0,0,203.17,1548.63,464.46,48.2,122.31,95.47,198.48,123.61,3.52,4.66,55.92,79.63,3.37,47.48,318.19,146
24360,56.17,226.34,110.78,311.93,0,0,307.87,2397.17,754.13,122.84,170.64,170.68,289.97,4.55,51.04,3.86,2.65,109.97,2.8,118.04,292.9,0
