mat_id, mo393, mo394, mo27, mo28, mo13
mat_name, 250C30, 500C30, WrPr30, OtPk30, BkSc30
mat_desc, 2030_250m_car_share, 2030_500m_car_share, 2030_work_parking, 2030_nonwork_parking, 2030_bike_score
23430, 2, 3, 0.5, 0.25, 4
23440, 1, 2, 0.4, 0.35, 3
23450, 1, 2, 0.4, 0.35, 3
23460, 1, 2, 0.4, 0.35, 3
23470, 2, 3, 0.4, 0.25, 4
23480, 1, 3, 0.3, 0.35, 4
23490, 1, 3, 0.3, 0.35, 4
23500, 2, 3, 0.45, 0.25, 4
23510, 2, 3, 0.45, 0.25, 4
23520, 1, 3, 0.45, 0.25, 4
23530, 2, 3, 0.45, 0.25, 4
23540, 2, 3, 0.45, 0.25, 4
23550, 2, 3, 0.5, 0.25, 4
23560, 2, 3, 0.5, 0.25, 4
23570, 0, 2, 0.4, 0.35, 3
23580, 1, 3, 0.45, 0.25, 4
23590, 1, 2, 0.3, 0.25, 4
23600, 1, 2, 0.3, 0.25, 4
23610, 1, 2, 0.3, 0.25, 3
23620, 1, 2, 0.3, 0.25, 3
23630, 0, 2, 0.4, 0.35, 3
23640, 1, 3, 0.4, 0.35, 3
23650, 1, 3, 0.4, 0.35, 3
23660, 0, 2, 0.3, 0.25, 3
23670, 0, 1, 0.4, 0.35, 3
23680, 1, 3, 0.45, 0.25, 4
23690, 1, 2, 0.3, 0.25, 4
23700, 1, 2, 0.3, 0.25, 4
23710, 1, 2, 0.3, 0.25, 3
23720, 0, 2, 0.4, 0.35, 3
23730, 0, 1, 0.3, 0.35, 3
23740, 0, 1, 0.4, 0.35, 3
23750, 0, 1, 0.4, 0.25, 3
23760, 0, 1, 0.4, 0.35, 3
23770, 1, 2, 0.4, 0.35, 3
23780, 2, 3, 0.45, 0.25, 4
23790, 1, 2, 0.4, 0.25, 4
23800, 1, 2, 0.45, 0.25, 4
23810, 1, 2, 0.4, 0.25, 4
24010, 0, 1, 0.4, 0.25, 3
24020, 0, 2, 0.4, 0.25, 3
24030, 0, 2, 0.45, 0.25, 4
24040, 0, 1, 0.4, 0.25, 3
24050, 0, 1, 0.3, 0.35, 3
24060, 0, 2, 0.3, 0.35, 3
24070, 0, 2, 0.4, 0.35, 3
24080, 0, 2, 0, 0.25, 3
24090, 0, 1, 0, 0.25, 3
24100, 0, 2, 0.35, 0.25, 3
24110, 0, 2, 0.35, 0.25, 3
24120, 0, 1, 0.35, 0.25, 3
24130, 1, 2, 0.45, 0.25, 4
24140, 0, 0, 0.2, 0.35, 3
24150, 0, 0, 0.2, 0.35, 3
24160, 0, 0, 0.2, 0.35, 3
24170, 0, 2, 0.2, 0.25, 3
24180, 1, 2, 0.2, 0.25, 3
24190, 1, 2, 0.2, 0.25, 3
24200, 0, 2, 0.2, 0.25, 3
24210, 0, 1, 0.35, 0.25, 4
24220, 0, 1, 0.35, 0.25, 4
24230, 1, 2, 0.45, 0.25, 4
24240, 0, 1, 0.35, 0.25, 4
24250, 1, 2, 0.45, 0.25, 4
24260, 1, 2, 0.4, 0.35, 4
24270, 1, 2, 0.4, 0.35, 4
24280, 0, 2, 0.4, 0.35, 4
24290, 0, 1, 0.4, 0.35, 3
24300, 0, 0, 0.2, 0.35, 3
24310, 0, 1, 0.4, 0.35, 3
24320, 0, 2, 0.45, 0.25, 4
24330, 1, 1, 0, 0.25, 3
24340, 0, 1, 0.4, 0.35, 4
24350, 0, 2, 0.4, 0.35, 4
24360, 0, 2, 0.4, 0.25, 3
24370, 0, 2, 0.4, 0.25, 3
24380, 1, 2, 0.2, 0.25, 4
24390, 0, 1, 0.2, 0.25, 4
24400, 1, 2, 0.4, 0.35, 4
24410, 1, 2, 0.4, 0.25, 3
24420, 1, 2, 0.4, 0.25, 3
24430, 1, 2, 0.2, 0.25, 3
24440, 0, 2, 0.2, 0.25, 3
24450, 1, 2, 0.2, 0.25, 3
24460, 1, 2, 0.2, 0.25, 3
24470, 0, 2, 0.2, 0.25, 3
25010, 0, 2, 0.3, 0.25, 3
25020, 0, 1, 0.35, 0.25, 3
25030, 1, 2, 0.3, 0.25, 3
25040, 1, 2, 0.3, 0.25, 4
25050, 1, 2, 0.3, 0.35, 3
25060, 1, 2, 0.3, 0.35, 3
25070, 0, 1, 0.3, 0.35, 3
25080, 0, 1, 0.4, 0.25, 3
25090, 1, 2, 0.45, 0.25, 3
25100, 1, 1, 0.35, 0.25, 3
25110, 1, 2, 0.45, 0.25, 3
25120, 1, 2, 0.3, 0.25, 4
25130, 1, 2, 0.3, 0.25, 4
25140, 1, 2, 0.3, 0.35, 4
25150, 1, 2, 0.3, 0.35, 3
25160, 1, 2, 0.3, 0.25, 3
25170, 1, 2, 0.3, 0.25, 3
25180, 1, 2, 0.3, 0.25, 3
25190, 1, 2, 0.3, 0.25, 3
25200, 1, 2, 0.3, 0.25, 3
25210, 1, 2, 0.3, 0.25, 3
25220, 1, 2, 0.3, 0.25, 4
25230, 1, 2, 0.3, 0.25, 4
25240, 1, 2, 0.3, 0.35, 4
25250, 1, 2, 0.3, 0.35, 3
25260, 0, 1, 0.3, 0.35, 3
25270, 0, 1, 0.4, 0.25, 3
25280, 0, 2, 0.35, 0.25, 3
25290, 1, 2, 0.35, 0.25, 3
25300, 0, 1, 0.4, 0.35, 3
25310, 1, 2, 0.35, 0.25, 3
25320, 1, 2, 0.35, 0.25, 3
25330, 2, 3, 0.2, 0.25, 4
25340, 2, 3, 0.2, 0.25, 4
25350, 2, 3, 0.4, 0.35, 3
25360, 1, 2, 0.4, 0.35, 3
25370, 0, 2, 0.4, 0.35, 3
25380, 1, 2, 0.35, 0.25, 3
25390, 0, 1, 0.4, 0.35, 3
25400, 2, 3, 0.45, 0.3, 3
25410, 2, 3, 0.3, 0.35, 4
25420, 2, 3, 0.3, 0.35, 4
25430, 1, 3, 0.2, 0.25, 3
25440, 1, 2, 0.2, 0.25, 3
25450, 0, 1, 0.3, 0.25, 3
25460, 0, 1, 0.3, 0.25, 3
25470, 2, 3, 0.45, 0.3, 3
25480, 1, 3, 0.45, 0.3, 3
25490, 2, 3, 0.45, 0.3, 3
25500, 2, 3, 0.3, 0.35, 4
25510, 1, 2, 0.3, 0.25, 3
25520, 2, 3, 0.35, 0.25, 4
25530, 2, 3, 0.35, 0.25, 4
25540, 2, 3, 0.3, 0.25, 4
25550, 2, 3, 0.3, 0.25, 4
25560, 2, 3, 0.3, 0.25, 4
25570, 2, 3, 0.2, 0.35, 3
25580, 1, 2, 0.2, 0.35, 3
25590, 1, 2, 0.3, 0.25, 4
25600, 1, 2, 0.3, 0.25, 4
25610, 0, 1, 0.4, 0.25, 4
25620, 2, 3, 0.35, 0.25, 4
25630, 1, 3, 0.35, 0.25, 4
25640, 2, 3, 0.3, 0.25, 4
25650, 2, 3, 0.3, 0.25, 4
25660, 1, 2, 0.2, 0.25, 4
25670, 1, 2, 0.3, 0.25, 4
25680, 2, 3, 0.4, 0.25, 4
25690, 1, 2, 0.4, 0.35, 4
