c Emme Modeller - Turn Transaction
c Scenario 3000:  2030 Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 221603 220601 221602    -1      0      0      0
a 221603 220601 222702    -1      0      0      0
a 221603 221001 220601    -1      0      0      0
a 221603 221001 220603    -1      0      0      0
a 221603 221001 221602    -1      0      0      0
a 221603 221001 222702    -1      0      0      0
a 221603 221003 220601    -1      0      0      0
a 221603 221003 220603    -1      0      0      0
a 221603 221003 221602    -1      0      0      0
a 221603 221003 222702    -1      0      0      0
a 221603 221602 220601    -1      0      0      0
a 221603 221602 220603    -1      0      0      0
a 221603 221602 221602     0      0      0      0
a 221603 221602 222702     0      0      0      0
a 221603 222702 220601    -1      0      0      0
a 221603 222702 220603    -1      0      0      0
a 221603 222702 221602    -1      0      0      0
a 221603 222702 222702     0      0      0      0
a 222003 222001 221904    -1      0      0      0
a 222003 222001 222001     0      0      0      0
a 222003 222001 222004    -1      0      0      0
a 222003 222001 223001    -1      0      0      0
a 222003 222001 223102    -1      0      0      0
a 222003 222004 221904    -1      0      0      0
a 222003 222004 222001    -1      0      0      0
a 222003 222004 222004     0      0      0      0
a 222003 222004 223001    -1      0      0      0
a 222003 222004 223102     0      0      0      0
a 222003 223001 221904    -1      0      0      0
a 222003 223001 222001     0      0      0      0
a 222003 223001 222004    -1      0      0      0
a 222003 223001 223001     0      0      0      0
a 222003 223001 223102    -1      0      0      0
a 222003 223101 221904    -1      0      0      0
a 222003 223101 222001    -1      0      0      0
a 222003 223101 222004    -1      0      0      0
a 222003 223101 223001    -1      0      0      0
a 222003 223101 223102    -1      0      0      0
a 222003 223102 221904    -1      0      0      0
a 222003 223102 222001    -1      0      0      0
a 222003 223102 222004    -1      0      0      0
a 222003 223102 223001    -1      0      0      0
a 222003 223102 223102     0      0      0      0
a 222105 222103 222103     0      0      0      0
a 222105 222103 222104    -1      0      0      0
a 222105 222103 223203    -1      0      0      0
a 222105 222103 223301    -1      0      0      0
a 222105 222104 222103     0      0      0      0
a 222105 222104 222104     0      0      0      0
a 222105 222104 223203    -1      0      0      0
a 222105 222104 223301    -1      0      0      0
a 222105 223203 222103    -1      0      0      0
a 222105 223203 222104    -1      0      0      0
a 222105 223203 223203     0      0      0      0
a 222105 223203 223301    -1      0      0      0
a 222105 223301 222103    -1      0      0      0
a 222105 223301 222104    -1      0      0      0
a 222105 223301 223203    -1      0      0      0
a 222105 223301 223301     0      0      0      0
a 222703 221604 221604     0      0      0      0
