    line   @hdwyam   @hdwymd   @hdwypm  @brdline
'319N1X'         9         9         9         1
'319S1X'         9         9         9         1
'320E1X'        21        21        21         1
'320E2X'        14        21        21         1
'320W1X'        21        21        21         1
'320W2X'        21        21        14         1
'321N1X'        14        10        10         1
'321S1X'        10        10        10         1
'322E1X'        21        21        21         1
'322W1X'        21        21        21         1
'323N1X'        10        14        10         1
'323S1X'        10        14        10         1
'324N1X'        10        41        14         1
'324S1X'        10        21        14         1
'325N1X'        10        21        14         1
'325S1X'        10        21        14         1
'326E1X'        21        41        21         1
'326W1X'        21        41        21         1
'329N1M'         0        41         0         1
'329N2P'         0         0        41         1
'329S1M'         0        41         0         1
'329S2A'        41         0         0         1
'335E1X'        14        21        10         1
'335E2X'        14        21        10         1
'335W1X'        14        14        10         1
'335W2X'        10        21         8         1
'337E1X'        10        10        10         1
'337W1X'        10        10        10         1
'340E1X'        10        21        10         1
'340W1X'        10        21        10         1
'341N1X'        14        21        14         1
'341S1X'        14        21        14         1
'342E1X'        14        21        14         1
'342W1X'        14        41        14         1
'345N1X'         0         0         0         1
'345N2X'        10        21        10         1
'345S1X'         0         0         0         1
'345S2X'        10        21        10         1
'351N1X'         5        10         8         1
'351S1X'         7        10         7         1
'352S1P'         0         0        14         1
'354N1A'        41         0         0         1
'354S1P'         0         0        10         1
'360E1X'        21        21        21         1
'360W1X'        21        21        21         1
'361E1X'        21        21        21         1
'361W1X'        21        21        21         1
'362N1X'         0        21        21         1
'362S1X'         0        21        21         1
'363E1X'        21        21        21         1
'363W1X'        21        21        21         1
'364E1X'        21        21        21         1
'364W1X'        21        21        21         1
'370E1X'        21        41        21         1
'370W1X'        21        41        21         1
'371E1X'        21        41        21         1
'371W1X'        21        41        21         1
'372E1X'        21        21        21         1
'372W1X'        21        21        21         1
'373E1X'        21        21        14         1
'373W1X'        14        41        14         1
'375N1X'        21        21        21         1
'375S1X'        21        21        21         1
'388E1X'        21         0        21         1
'388W1X'        21         0        21         1
'391N1A'        41         0         0         1
'391S1P'         0         0        21         1
'393N1A'        41         0         0         1
'393S1P'         0         0        21         1
'394N1X'        41         0        21         1
'394S1X'        41         0        21         1
'395E1P'         0         0         0         1
'395E2P'         0         0        14         1
'395W1A'         0         0         0         1
'395W2A'        14         0         0         1
'401E1X'         6        10         5         1
'401W1X'         6        10         5         1
'402N1X'         8        21         8         1
'402S1X'         8        21         8         1
'403N1X'         8        14        10         1
'403S1X'        10        14        10         1
'404E1X'        21        21        21         1
'404W1X'        21        14        14         1
'405N1X'        14        21        21         1
'405S1X'        21        14        21         1
'407N1X'        14        41        14         1
'407S1X'        14        41        14         1
'408E1X'         6        10         5         1
'408W1X'         6        10         5         1
'410E1X'         5         0         5         1
'410E2X'        41         7         0         1
