c Modeller - Base Network Transaction
c Scenario 5060:  2050 Alt 4A
t nodes
c   Node          X-coord          Y-coord   Data1   Data2   Data3 Label
a* 12120     495.52152448    5465.00212435       0       0       0 0000
a* 12130     496.53113728    5465.02272369       0       0       0 0000
a* 12140      497.0221451     5464.9119843       0       0       0 0000
a* 12150     497.96675965    5465.33384903       0       0       0 0000
a* 12160     496.44082624     5464.4582404       0       0       0 0000
a* 12170     497.06009168    5464.68717904       0       0       0 0000
a* 12180       492.159285      5464.151388       0       0       0 0000
a* 12190      496.7297593    5464.17765415       0       0       0 0000
a* 12200       491.111534      5463.967462       0       0       0 0000
a* 12210     497.63316443    5463.68062126       0       0       0 0000
a* 12220     491.78081803    5463.66459238       0       0       0 0000
a* 12230      491.7088545    5463.12014392       0       0       0 0000
a* 12240      492.3635089    5463.10061429       0       0       0 0000
a* 12250     500.18173648    5463.31571266       0       0       0 0000
a* 12260     501.42032818    5463.06530411       0       0       0 0000
a* 12270      502.7848821    5463.23411665       0       0       0 0000
a* 12280       503.771962      5463.450274       0       0       0 0000
a* 12290      497.9756694     5462.4187543       0       0       0 0000
a* 12300     498.66999425    5462.81171992       0       0       0 0000
a* 12310     499.22411207    5463.02531057       0       0       0 0000
a* 12320     496.62546695    5462.68900068       0       0       0 0000
a* 12330       491.931323      5462.549106       0       0       0 0000
a* 12340     497.43964316    5461.94351863       0       0       0 0000
a* 12350     497.79696073    5461.81884879       0       0       0 0000
a* 12360     498.24634169     5461.7616652       0       0       0 0000
a* 12370       499.633736      5462.033263       0       0       0 0000
a* 12380       501.384753      5462.224789       0       0       0 0000
a* 12390       503.422434      5461.699962       0       0       0 0000
a* 12400     498.69529387    5461.70531191       0       0       0 0000
a* 12410     497.59687518    5461.01286833       0       0       0 0000
a* 12420     499.20985996    5461.08895116       0       0       0 0000
a* 13010     494.07851372    5464.56648585       0       0       0 0000
a* 13020        495.51366        5464.5164       0       0       0 0000
a* 13030      493.0602201        5463.8813       0       0       0 0000
a* 13040  493.58475243351 5463.93274033439       0       0       0 0000
a* 13050     494.21731653    5463.84093973       0       0       0 0000
a* 13060     494.63963479    5463.80892452       0       0       0 0000
a* 13070      494.8684516    5463.81415394       0       0       0 0000
a* 13080     495.50409114    5463.81224701       0       0       0 0000
a* 13090      496.7475793      5463.687378       0       0       0 0000
a* 13100     492.82842268    5463.10764164       0       0       0 0000
a* 13110     493.13082319    5463.17803802       0       0       0 0000
a* 13120      493.7729829     5463.3577458       0       0       0 0000
a* 13130     494.29689273    5463.07334328       0       0       0 0000
a* 13140     494.60123543    5463.00719442       0       0       0 0000
a* 13150        496.32857       5463.45794       0       0       0 0000
a* 13160     492.96034357    5462.58346038       0       0       0 0000
a* 13170      493.5412067     5462.6717759       0       0       0 0000
a* 13180     494.13149894    5462.66390953       0       0       0 0000
a* 13190      494.9587475    5462.85780535       0       0       0 0000
a* 13200     495.58565502    5462.77877478       0       0       0 0000
a* 13210      494.0465888    5462.03597208       0       0       0 0000
a* 13220     494.05748552    5462.37505115       0       0       0 0000
a* 13230     494.42420513    5462.09820289       0       0       0 0000
a* 13240     494.64726763    5462.44235671       0       0       0 0000
a* 13250     495.37497395    5462.06040652       0       0       0 0000
a* 13260     494.86456695    5462.27755206       0       0       0 0000
a* 13270     496.35645949    5462.04143945       0       0       0 0000
a* 13280      494.6284231    5461.63155529       0       0       0 0000
a* 13290     495.41139289    5461.69484221       0       0       0 0000
a* 13300     494.64557953    5461.95225565       0       0       0 0000
a* 13310     496.85493936    5461.91917578       0       0       0 0000
a* 13320     496.16193287     5461.4541308       0       0       0 0000
a* 13330     496.85878467    5461.25094615       0       0       0 0000
a* 14010     496.54283181    5480.26896271       0       0       0 0000
a* 14020     482.86194916    5478.67102121       0       0       0 0000
a* 14030      483.1226913    5474.18094705       0       0       0 0000
a* 14040      473.9166469     5469.0137595       0       0       0 0000
a* 21010     482.07979957    5458.02915514       0       0       0 0000
a* 21020     481.80958088    5457.42278277       0       0       0 0000
a* 21030     482.30967675    5457.32749639       0       0       0 0000
a* 21040 481.421793174962 5457.26900566315       0       0       0 0000
