    line   @hdwyam   @hdwymd   @hdwypm
'335W2X'        12        23         9
'337E1X'        12        12        12
'337W1X'        12        12        12
'340E1X'        12        23        12
'340W1X'        12        23        12
'341N1X'        16        23        16
'341S1X'        16        23        16
'342E1X'        16        23        16
'342W1X'        16        47        16
'345N1X'         0         0         0
'345N2X'        12        23        12
'345S1X'         0         0         0
'345S2X'        12        23        12
'351N1X'         6        12         9
'351S1X'         8        12         8
'352S1P'         0         0        16
'354N1A'        47         0         0
'354S1P'         0         0        12
'360E1X'        23        23        23
'360W1X'        23        23        23
'361E1X'        23        23        23
'361W1X'        23        23        23
'362N1X'         0        23        23
'362S1X'         0        23        23
'363E1X'        23        23        23
'363W1X'        23        23        23
'364E1X'        23        23        23
'364W1X'        23        23        23
'370E1X'        23        47        23
'370W1X'        23        47        23
'371E1X'        23        47        23
'371W1X'        23        47        23
'372E1X'        23        23        23
'372W1X'        23        23        23
'373E1X'        23        23        16
'373W1X'        16        47        16
'375N1X'        23        23        23
'375S1X'        23        23        23
'388E1X'        23         0        23
'388W1X'        23         0        23
'391N1A'        47         0         0
'391S1P'         0         0        23
'393N1A'        47         0         0
'393S1P'         0         0        23
'394N1X'        47         0        23
'394S1X'        47         0        23
'395E1P'         0         0         0
'395E2P'         0         0        16
'395W1A'         0         0         0
'395W2A'        16         0         0
'401E1X'         7        12         6
'401W1X'         7        12         6
'402N1X'         9        23         9
'402S1X'         9        23         9
'403N1X'         9        16        12
'403S1X'        12        16        12
'404E1X'        23        23        23
'404W1X'        23        16        16
'405N1X'        16        23        23
'405S1X'        23        16        23
'407N1X'        16        47        16
'407S1X'        16        47        16
'408E1X'         7        12         6
'408W1X'         7        12         6
'410E1X'         5         0         6
'410E2X'        47         8         0
'410W1X'         5         0         6
'410W2M'         0         8         0
'412E1X'        12        23        16
'412W1X'        12        23        16
'413E1X'         0        23        23
'413W1X'        47        23        47
'414E1X'         0        47        23
'414W1X'         0        23        23
'416E1X'        23         0        23
'416W1X'        23         0        23
'418N1X'        23         0        23
'418S1X'        23         0        23
'430E1X'         0         0         0
'430W1X'         0         0         0
'480E1X'        16        12         8
